frames,reward,dist
5000,0.0000,11.2836
10000,0.0000,8.5532
15000,0.0000,10.5182
20000,0.0000,10.6573
25000,0.0000,9.8827
30000,0.0000,7.9287
35000,0.0000,4.2895
40000,0.0000,6.0795
45000,0.0000,4.9365
50000,0.0000,5.3001
55000,0.0000,5.7385
60000,0.0000,2.1480
65000,0.0000,4.1451
70000,0.0000,5.1704
75000,0.0000,8.7542
80000,0.0000,6.8206
85000,0.0000,7.0651
90000,0.0000,5.6660
95000,0.0000,3.6741
100000,0.0000,6.9345
105000,0.0000,7.8119
110000,0.0000,10.1361
115000,0.0000,11.9896
120000,0.0000,10.1190
125000,0.0000,10.2772
130000,0.0000,10.0373
135000,0.0000,10.4145
140000,0.0000,8.5492
145000,0.0000,6.7260
150000,0.0000,4.1253
155000,0.0000,5.9966
160000,0.0000,6.3268
165000,0.0000,9.2024
170000,0.0000,6.4611
175000,0.0000,6.4963
180000,0.0000,6.8753
185000,0.0000,5.2436
190000,0.0000,7.3831
195000,0.0000,4.9103
200000,0.0000,6.5631
205000,0.0000,7.9432
210000,0.0000,8.5925
215000,0.0000,6.6629
220000,0.0000,8.9785
225000,0.0000,8.4833
230000,0.0000,8.3584
235000,0.0000,7.9845
240000,0.0000,9.8966
245000,0.0000,7.0388
250000,0.0000,6.9820
255000,0.0000,7.4536
260000,0.0000,5.5045
265000,0.0000,7.7776
270000,0.0000,7.9707
275000,0.0000,9.8591
280000,0.0000,8.3710
285000,0.0000,8.7991
290000,0.0000,10.4285
295000,0.0000,8.9187
300000,0.0000,9.3212
305000,0.0000,7.3503
310000,0.0000,9.5782
315000,0.0000,9.4176
320000,0.0000,8.3307
325000,0.0000,8.3310
330000,0.0000,8.7424
335000,0.0000,9.1528
340000,0.0000,7.6054
345000,0.0000,9.7773
350000,0.0000,9.0479
355000,0.0000,9.2144
360000,0.0000,9.7981
365000,0.0000,9.8032
370000,0.0000,8.8331
375000,0.0000,7.0846
380000,0.0000,9.0515
385000,0.0000,8.9460
390000,0.0000,9.2726
395000,0.0000,8.7300
400000,0.0000,8.2203
405000,0.0000,9.4771
410000,0.0000,8.8682
415000,0.0000,9.5956
420000,0.0000,9.4347
425000,0.0000,8.8838
430000,0.0000,8.2480
435000,0.0000,8.1618
440000,0.0000,9.2086
445000,0.0000,8.3257
450000,0.0000,9.4116
455000,0.0000,7.9810
460000,0.0000,7.8452
465000,0.0000,8.0880
470000,0.0000,8.7093
475000,0.0000,10.3309
480000,0.0000,8.5532
485000,0.0000,9.1331
490000,0.0000,8.2836
495000,0.0000,8.1930
500000,0.0000,9.4546
505000,0.0000,7.3940
510000,0.0000,7.9946
515000,0.0000,9.3731
520000,0.0000,9.7012
525000,0.0000,9.1585
530000,0.0000,7.0996
535000,0.0000,9.6044
540000,0.0000,8.1701
545000,0.0000,9.7620
550000,0.0000,10.2879
555000,0.0000,8.1180
560000,0.0000,9.0972
565000,0.0000,8.5495
570000,0.0000,7.6937
575000,0.0000,8.4420
580000,0.0000,7.7209
585000,0.0000,8.7438
590000,0.0000,8.4909
595000,0.0000,7.9262
600000,0.0000,8.9028
605000,0.0000,9.1153
610000,0.0000,9.6050
615000,0.0000,9.5546
620000,0.0000,9.2942
625000,0.0000,9.4600
630000,0.0000,9.4006
635000,0.0000,9.9508
640000,0.0000,9.6589
645000,0.0000,10.4352
650000,0.0000,9.5898
655000,0.0000,9.2447
660000,0.0000,8.5860
665000,0.0000,7.3928
670000,0.0000,9.7931
675000,0.0000,9.2587
680000,0.0000,9.0764
685000,0.0000,8.9809
690000,0.0000,7.9529
695000,0.0000,9.2640
700000,0.0000,9.1724
705000,0.0000,8.8426
710000,0.0000,9.7566
715000,0.0000,9.6403
720000,0.0000,9.7481
725000,0.0000,9.4799
730000,0.0000,9.4382
735000,0.0000,7.3554
740000,0.0000,8.8734
745000,0.0000,9.3422
750000,0.0000,7.9727
755000,0.0000,9.6579
760000,0.0000,7.5040
765000,0.0000,8.8478
770000,0.0000,7.8768
775000,0.0000,8.8727
780000,0.0000,8.2973
785000,0.0000,9.7420
790000,0.0000,8.5248
795000,0.0000,9.6845
800000,0.0000,8.8502
805000,0.0000,9.6266
810000,0.0000,7.2636
815000,0.0000,9.5619
820000,0.0000,7.6314
825000,0.0000,8.1771
830000,0.0000,10.0155
835000,0.0000,7.7989
840000,0.0000,9.6202
845000,0.0000,8.9396
850000,0.0000,10.0438
855000,0.0000,9.7049
860000,0.0000,8.9312
865000,0.0000,9.9017
870000,0.0000,10.1530
875000,0.0000,9.6671
880000,0.0000,9.2038
885000,0.0000,9.4787
890000,0.0000,9.6435
895000,0.0000,10.1739
900000,0.0000,9.9910
905000,0.0000,8.8801
910000,0.0000,9.7092
915000,0.0000,9.7492
920000,0.0000,9.2423
925000,0.0000,8.0635
930000,0.0000,7.2321
935000,0.0000,9.0124
