frames,reward,dist
5000,0.0000,11.2836
10000,0.0000,8.5532
15000,0.0000,10.5182
20000,0.0000,10.6573
25000,0.0000,9.8827
30000,0.0000,7.9287
35000,0.0000,4.2895
40000,0.0000,6.0795
45000,0.0000,4.9365
50000,0.0000,5.3001
55000,0.0000,1.0151
60000,0.0000,1.3308
65000,0.0000,2.0847
70000,0.0000,1.9178
75000,0.0000,2.0555
80000,0.0000,2.1909
85000,0.0000,2.2876
90000,0.0000,2.5414
95000,0.0000,2.4563
100000,0.0000,3.0166
105000,0.0000,0.5990
110000,0.0000,0.9819
115000,0.0000,0.9455
120000,0.0000,1.0755
125000,0.0000,0.7961
130000,0.0000,1.2882
135000,0.0000,1.1271
140000,0.0000,1.1247
145000,0.0000,1.0658
150000,0.0000,0.8558
155000,0.0000,0.5847
160000,0.0000,1.2413
165000,0.0000,0.7081
170000,0.0000,0.8377
175000,0.0000,1.0492
180000,0.0000,0.9527
185000,0.0000,1.0750
190000,0.0000,1.0018
195000,0.0000,1.0544
200000,0.0000,1.0165
205000,0.0000,1.0886
210000,0.0000,1.1009
215000,0.0000,1.2101
220000,0.0000,1.1818
225000,0.0000,1.1150
230000,0.0000,1.2286
235000,0.0000,1.2778
240000,0.0000,1.2403
245000,0.0000,1.3048
250000,0.0000,1.1112
255000,0.0000,1.2325
260000,0.0000,1.3687
265000,0.0000,1.1668
270000,0.0000,1.3104
275000,0.0000,1.0316
280000,0.0000,1.4001
285000,0.0000,1.3418
290000,0.0000,1.3106
295000,0.0000,1.3829
300000,0.0000,1.5804
305000,0.0000,1.5634
310000,0.0000,1.1306
315000,0.0000,1.5520
320000,0.0000,1.4323
325000,0.0000,1.4116
330000,0.0000,1.3933
335000,0.0000,1.3230
340000,0.0000,1.4485
345000,0.0000,1.3955
350000,0.0000,1.1057
355000,0.0000,1.1756
360000,0.0000,1.1120
365000,0.0000,1.0645
370000,0.0000,1.2031
375000,0.0000,1.3213
380000,0.0000,1.2904
385000,0.0000,1.0791
390000,0.0000,1.1566
395000,0.0000,0.9055
400000,0.0000,1.2819
405000,0.0000,0.8890
410000,0.0000,0.8835
415000,0.0000,0.9414
420000,0.0000,0.9145
425000,0.0000,1.0147
430000,0.0000,1.1240
435000,0.0000,1.0045
440000,0.0000,1.0776
445000,0.0000,1.0018
450000,0.0000,1.4406
455000,0.0000,1.3056
460000,0.0000,0.7278
465000,0.0000,0.9172
470000,0.0000,1.5789
475000,0.0000,1.1537
480000,0.0000,1.1060
485000,0.0000,1.0605
490000,0.0000,0.8970
495000,0.0000,1.1599
500000,0.0000,0.9243
505000,0.0000,1.0474
510000,0.0000,1.0528
515000,0.0000,1.0545
520000,0.0000,1.0176
525000,0.0000,0.9598
530000,0.0000,0.8432
535000,0.0000,0.7818
540000,0.0000,0.7606
545000,0.0000,1.2014
550000,0.0000,0.9992
555000,0.0000,1.0126
560000,0.0000,1.0274
565000,0.0000,1.1233
570000,0.0000,1.1906
575000,0.0000,1.3309
580000,0.0000,0.9495
585000,0.0000,0.9152
590000,0.0000,0.8746
595000,0.0000,1.0483
600000,0.0000,0.9666
605000,0.0000,0.9067
610000,0.0000,0.7987
615000,0.0000,1.0280
620000,0.0000,1.0111
625000,0.0000,0.9333
630000,0.0000,0.9242
635000,0.0000,1.0483
640000,0.0000,0.8448
645000,0.0000,0.8096
650000,0.0000,1.0911
655000,0.0000,1.0960
660000,0.0000,1.0840
665000,0.0000,1.0867
670000,0.0000,1.1582
675000,0.0000,1.1676
680000,0.0000,0.9920
685000,0.0000,1.2724
690000,0.0000,1.0068
695000,0.0000,1.2276
700000,0.0000,1.1072
705000,0.0000,1.0256
710000,0.0000,0.9890
715000,0.0000,0.9965
720000,0.0000,1.1655
725000,0.0000,0.9771
730000,0.0000,1.0345
735000,0.0000,1.1948
740000,0.0000,1.0589
745000,0.0000,1.0339
750000,0.0000,1.1372
755000,0.0000,1.1197
760000,0.0000,1.2769
765000,0.0000,1.2538
770000,0.0000,1.1356
775000,0.0000,1.1698
780000,0.0000,1.2836
785000,0.0000,1.1304
790000,0.0000,1.1906
795000,0.0000,1.2984
800000,0.0000,1.1949
805000,0.0000,1.2917
810000,0.0000,1.3469
815000,0.0000,1.3165
820000,0.0000,1.3027
825000,0.0000,1.4045
830000,0.0000,1.2400
835000,0.0000,1.2068
840000,0.0000,1.4019
845000,0.0000,1.1298
850000,0.0000,1.2940
855000,0.0000,1.1126
860000,0.0000,1.1048
865000,0.0000,1.0914
870000,0.0000,1.1022
875000,0.0000,1.2426
880000,0.0000,1.0802
885000,0.0000,1.2079
890000,0.0000,1.2090
895000,0.0000,1.0217
900000,0.0000,1.0941
905000,0.0000,0.9124
910000,0.0000,1.1847
915000,0.0000,1.1832
920000,0.0000,1.0346
925000,0.0000,1.1089
930000,0.0000,1.0720
935000,0.0000,1.0755
