frames,reward,dist
5000,0.0000,3.0635
10000,0.0000,6.7570
15000,0.0000,5.3659
20000,0.0000,9.5698
25000,0.0000,11.6094
30000,0.0000,11.0898
35000,0.0000,3.9195
40000,0.0000,4.7666
45000,0.0000,12.4532
50000,0.0000,6.4982
55000,0.0000,9.5380
60000,0.0000,10.9482
65000,0.0000,13.9595
70000,0.0000,4.3071
75000,0.0000,14.1230
80000,0.0000,9.4210
85000,0.0000,9.2511
90000,0.0000,13.9397
95000,0.0000,13.5654
100000,0.0000,13.2495
105000,0.0000,11.0963
110000,0.0000,12.8238
115000,0.0000,10.3553
120000,0.0000,12.0041
125000,0.0000,4.6134
130000,0.0000,12.6995
135000,0.0000,10.8889
140000,0.0000,9.0764
145000,0.0000,12.5370
150000,0.0000,9.7799
155000,0.0000,7.0713
160000,0.0000,11.7929
165000,0.0000,6.7199
170000,0.0000,5.1806
175000,0.0000,11.1359
180000,0.0000,9.9303
185000,0.0000,11.6953
190000,0.0000,12.5334
195000,0.0000,9.4016
200000,0.0000,5.9154
205000,0.0000,6.3523
210000,0.0000,13.5075
215000,0.0000,12.0904
220000,0.0000,10.4123
225000,0.0000,13.1902
230000,0.0000,11.8707
235000,0.0000,11.0776
240000,0.0000,11.4415
245000,0.0000,10.7381
250000,0.0000,11.8194
255000,0.0000,11.0094
260000,0.0000,10.8918
265000,0.0000,9.9863
270000,0.0000,11.6776
275000,0.0000,11.7037
280000,0.0000,12.0511
285000,0.0000,11.3251
290000,0.0000,12.2090
295000,0.0000,12.2056
300000,0.0000,11.5508
305000,0.0000,12.0671
310000,0.0000,12.6825
315000,0.0000,10.4775
320000,0.0000,11.9102
325000,0.0000,10.5169
330000,0.0000,11.2279
335000,0.0000,11.4397
340000,0.0000,11.8179
345000,0.0000,10.7958
350000,0.0000,12.3218
355000,0.0000,11.8490
360000,0.0000,10.9759
365000,0.0000,9.6626
370000,0.0000,10.5003
375000,0.0000,10.3197
380000,0.0000,11.2827
385000,0.0000,11.3720
390000,0.0000,11.5698
395000,0.0000,12.0651
400000,0.0000,12.0876
405000,0.0000,11.4049
410000,0.0000,10.2691
415000,0.0000,12.4152
420000,0.0000,11.6245
425000,0.0000,11.5460
430000,0.0000,10.5226
435000,0.0000,11.7690
440000,0.0000,11.5401
445000,0.0000,11.8618
450000,0.0000,12.3406
455000,0.0000,12.8821
460000,0.0000,11.6967
465000,0.0000,12.5604
470000,0.4000,11.9883
475000,0.0000,11.4932
480000,0.0000,12.3019
485000,0.0000,11.5530
490000,0.2000,11.9970
495000,0.0000,11.3020
500000,0.2000,12.1253
505000,0.2000,11.4194
510000,0.2000,11.4599
515000,0.6000,11.3745
520000,0.0000,11.7123
525000,0.6000,11.0058
530000,0.4000,11.8718
535000,0.0000,11.9498
540000,0.0000,12.1621
545000,0.4000,11.7543
550000,0.8000,11.5084
555000,0.0000,12.8468
560000,0.6000,11.5335
565000,0.2000,11.1950
570000,0.2000,12.2427
575000,0.0000,12.1818
580000,0.0000,9.6540
585000,0.0000,11.5489
590000,0.0000,11.4497
595000,0.0000,12.7089
600000,0.0000,12.2133
605000,0.0000,12.9882
610000,0.0000,10.8495
