frames,reward,dist
5000,0.0000,3.1044
10000,0.0000,7.7822
15000,0.0000,9.4740
20000,0.0000,3.5457
25000,0.0000,7.5992
30000,0.0000,5.1527
35000,0.0000,14.0780
40000,0.0000,13.8639
45000,0.0000,11.7676
50000,0.0000,12.8250
55000,0.0000,13.8660
60000,0.0000,13.5355
65000,0.0000,6.5295
70000,0.0000,9.2312
75000,0.0000,11.2779
80000,0.0000,2.2922
85000,0.0000,12.4476
90000,0.0000,2.1454
95000,0.0000,3.0897
100000,0.0000,11.2973
105000,0.0000,2.2069
110000,0.0000,13.9722
115000,0.0000,2.5682
120000,0.0000,3.1586
125000,0.0000,13.9877
130000,0.0000,3.9936
135000,0.0000,12.9355
140000,0.0000,8.2258
145000,0.0000,12.9708
150000,0.0000,12.4889
155000,0.0000,9.8877
160000,0.0000,2.9527
165000,0.0000,11.3514
170000,0.0000,11.8711
175000,0.0000,13.0259
180000,0.0000,12.3789
185000,0.0000,12.1552
190000,0.0000,12.6172
195000,0.0000,11.6028
200000,0.0000,13.1663
205000,0.0000,2.7130
210000,0.0000,11.9536
215000,0.0000,3.3842
220000,0.0000,10.2567
225000,0.0000,11.7238
230000,0.0000,10.4131
235000,0.0000,10.6931
240000,0.0000,11.2075
245000,0.0000,5.1543
250000,0.0000,4.2881
255000,0.0000,11.9768
260000,0.0000,5.2132
265000,0.0000,10.1622
270000,0.0000,12.0785
275000,0.0000,10.4599
280000,0.0000,10.9781
285000,0.0000,13.3220
290000,0.0000,5.9670
295000,0.0000,6.4893
300000,0.0000,5.1675
305000,0.0000,11.1582
310000,0.0000,10.3882
315000,0.0000,11.7643
320000,0.0000,10.0241
325000,0.0000,5.6979
330000,0.0000,9.8183
335000,0.0000,11.1188
340000,0.0000,10.6103
345000,0.0000,10.0301
350000,0.0000,9.9817
355000,0.0000,11.0270
360000,0.0000,11.2566
365000,0.0000,11.3179
370000,0.0000,11.3478
375000,0.0000,11.5320
380000,0.0000,10.8890
385000,0.0000,11.3652
390000,0.0000,11.0548
395000,0.0000,12.0171
400000,0.0000,12.0035
405000,0.0000,11.7182
410000,0.0000,11.8530
415000,0.0000,12.2151
420000,0.0000,11.6834
425000,0.0000,11.4308
430000,0.0000,10.7778
435000,0.0000,12.0543
440000,0.0000,12.4285
445000,0.0000,10.4787
450000,0.0000,10.6796
455000,0.0000,11.4256
460000,0.0000,10.2347
465000,0.0000,11.4200
470000,0.0000,11.5472
475000,0.0000,12.6481
480000,0.0000,11.0710
485000,0.0000,11.2831
490000,0.0000,11.1553
495000,0.0000,10.5087
500000,0.0000,10.7791
505000,0.0000,11.3717
510000,0.0000,11.7535
515000,0.0000,12.0699
520000,0.0000,12.0222
525000,0.0000,12.4332
530000,0.0000,12.4851
535000,0.0000,12.0002
540000,0.0000,12.1558
545000,0.0000,11.4447
550000,0.0000,12.3081
555000,0.0000,11.5377
560000,0.0000,12.4990
565000,0.0000,12.7711
570000,0.0000,12.4717
575000,0.0000,11.6256
580000,0.0000,11.2124
585000,0.0000,12.1522
590000,0.0000,12.3719
595000,0.0000,12.3068
600000,0.0000,12.2246
605000,0.0000,12.2939
610000,0.0000,12.5339
615000,0.0000,11.9683
620000,0.0000,11.4906
625000,0.0000,11.7253
630000,0.0000,10.7054
635000,0.0000,10.7128
640000,0.0000,10.8414
645000,0.0000,9.8993
650000,0.0000,10.8505
655000,0.0000,9.9972
660000,0.0000,10.8021
665000,0.0000,12.1674
670000,0.0000,10.9350
675000,0.0000,11.9696
680000,0.0000,10.6872
685000,0.0000,10.0169
690000,0.0000,11.2273
695000,0.0000,11.8221
700000,0.0000,11.0070
705000,0.0000,11.6786
710000,0.0000,11.7953
715000,0.0000,10.8369
720000,0.0000,11.3458
725000,0.0000,11.8819
730000,0.0000,11.5777
735000,0.0000,11.2360
740000,0.0000,12.3689
745000,0.0000,12.1631
750000,0.0000,10.7917
755000,0.0000,11.5984
760000,0.0000,11.6642
765000,0.0000,11.0202
770000,0.0000,11.6313
775000,0.0000,11.9440
780000,0.0000,11.3482
785000,0.0000,11.0624
790000,0.0000,11.5480
795000,0.0000,12.0023
800000,0.0000,11.6745
805000,0.0000,12.2584
810000,0.0000,11.5055
815000,0.0000,12.1129
820000,0.0000,11.0120
825000,0.0000,12.5356
830000,0.0000,12.2856
835000,0.0000,12.2557
840000,0.0000,12.2768
845000,0.0000,12.3749
850000,0.0000,12.2551
855000,0.0000,11.7510
860000,0.0000,12.3893
865000,0.0000,12.0305
870000,0.0000,11.1068
875000,0.0000,12.3890
880000,0.0000,11.4307
885000,0.0000,12.4798
890000,0.0000,11.9779
895000,0.0000,11.9832
900000,0.0000,12.6858
905000,0.2000,12.0014
910000,0.0000,12.0546
915000,0.0000,11.6794
920000,0.0000,11.7146
925000,0.4000,11.3789
930000,0.0000,11.2854
935000,0.0000,11.8870
940000,0.0000,11.8642
945000,0.0000,12.2119
950000,0.0000,12.3478
955000,0.2000,11.4162
960000,0.2000,11.7593
965000,0.2000,11.8440
970000,0.0000,11.8127
975000,0.2000,11.6258
980000,0.2000,11.8761
985000,0.4000,11.3269
990000,0.0000,12.0439
995000,0.0000,11.6438
1000000,0.0000,12.2509
1005000,0.0000,11.6222
1010000,0.0000,11.8377
1015000,0.2000,11.2669
1020000,0.0000,12.2397
1025000,0.2000,12.2217
1030000,0.0000,11.8212
1035000,0.0000,11.6256
1040000,0.0000,12.0388
1045000,0.0000,11.8463
1050000,0.2000,11.8769
1055000,0.0000,11.7208
1060000,0.0000,11.9333
1065000,0.0000,12.2147
1070000,0.2000,11.6294
1075000,0.4000,12.1607
1080000,0.0000,11.9428
1085000,0.0000,12.1403
1090000,0.4000,12.2941
1095000,0.4000,12.0224
1100000,1.0000,12.1854
1105000,0.0000,12.2607
1110000,0.2000,12.4390
1115000,0.2000,12.1544
1120000,0.2000,12.4641
1125000,0.0000,11.8682
1130000,0.0000,11.7505
1135000,0.0000,12.8451
1140000,0.0000,11.8797
1145000,0.0000,12.0742
1150000,0.2000,11.5920
1155000,0.6000,12.1249
1160000,0.6000,11.8217
1165000,0.4000,12.2354
1170000,0.2000,11.6311
1175000,0.8000,11.2950
1180000,0.4000,10.3397
1185000,0.6000,12.2836
1190000,0.2000,12.3994
1195000,0.4000,11.9748
1200000,0.2000,12.3125
1205000,0.2000,11.6083
1210000,0.4000,11.2126
1215000,0.2000,11.6325
1220000,0.6000,12.1808
1225000,0.6000,11.3324
1230000,0.2000,11.9926
1235000,0.0000,12.3511
1240000,0.4000,12.1432
1245000,0.2000,11.9333
1250000,0.4000,12.1461
1255000,0.0000,11.7597
1260000,0.6000,11.2287
1265000,0.6000,11.2557
1270000,0.2000,10.8691
1275000,0.2000,12.2330
1280000,0.2000,12.0008
1285000,0.2000,11.4695
1290000,0.2000,11.3664
1295000,0.6000,11.4084
1300000,0.2000,12.2319
1305000,0.6000,10.8998
1310000,0.2000,11.1654
1315000,0.2000,10.5060
1320000,0.2000,11.3809
1325000,0.4000,10.9202
1330000,0.4000,11.1536
1335000,0.8000,10.5687
1340000,0.2000,12.0272
1345000,0.4000,11.4188
1350000,0.4000,11.3917
1355000,0.0000,11.6043
1360000,0.2000,11.3587
1365000,0.0000,11.7176
1370000,0.2000,11.4606
1375000,0.2000,11.6791
1380000,0.0000,11.3454
1385000,0.2000,11.4578
1390000,0.2000,10.7467
1395000,0.4000,12.1600
1400000,0.2000,10.9639
1405000,0.0000,10.9527
1410000,0.6000,11.9548
1415000,0.0000,11.0895
1420000,0.2000,10.3408
1425000,0.2000,11.6929
1430000,0.0000,11.9475
1435000,0.6000,10.6053
1440000,0.4000,11.6961
1445000,0.2000,11.8124
1450000,0.6000,11.2308
1455000,0.4000,11.1618
1460000,0.2000,11.1527
1465000,0.2000,11.2798
1470000,0.0000,12.3959
1475000,0.0000,10.4451
1480000,0.0000,10.9342
1485000,0.4000,11.3349
