frames,reward,dist
5000,0.0000,7.1722
10000,0.0000,8.3704
15000,0.0000,5.8936
20000,0.0000,9.3212
25000,0.0000,9.3383
30000,0.0000,9.3528
35000,0.0000,9.4713
40000,0.0000,7.9096
45000,0.0000,7.7281
50000,0.0000,8.1442
55000,0.0000,9.1924
60000,0.0000,8.6829
65000,0.0000,8.5812
70000,0.0000,7.0157
75000,0.0000,7.6846
80000,0.0000,7.9550
85000,0.0000,7.9547
90000,0.0000,7.6516
95000,0.0000,7.9671
100000,0.0000,8.0958
105000,0.0000,8.1873
110000,0.0000,8.5911
115000,0.0000,7.9675
120000,0.0000,8.2769
125000,0.0000,6.9569
130000,0.0000,7.0277
135000,0.0000,7.2468
140000,0.0000,8.2482
145000,0.0000,7.5166
150000,0.0000,7.9392
155000,0.0000,8.6456
160000,0.0000,8.2208
165000,0.0000,8.5431
170000,0.0000,8.5951
175000,0.0000,7.7600
180000,0.0000,8.5767
185000,0.0000,8.7885
190000,0.0000,7.7774
195000,0.0000,7.8619
200000,0.0000,8.8067
205000,0.0000,9.1843
210000,0.0000,8.4763
215000,0.0000,7.7690
220000,0.0000,8.0208
225000,0.0000,8.3619
230000,0.0000,8.5207
235000,0.0000,7.7863
240000,0.0000,8.0051
245000,0.0000,7.3201
250000,0.0000,8.7561
255000,0.0000,8.3443
260000,0.0000,8.8488
265000,0.0000,8.2741
270000,0.0000,7.7714
275000,0.0000,8.0622
280000,0.0000,7.6126
285000,0.0000,8.2012
290000,0.0000,8.0306
295000,0.0000,9.3612
300000,0.0000,8.3025
305000,0.0000,7.9797
310000,0.0000,7.5137
315000,0.0000,8.2400
320000,0.0000,6.7276
325000,0.0000,7.2753
330000,0.0000,8.6596
335000,0.0000,7.9630
340000,0.0000,8.2246
345000,0.0000,8.0182
350000,0.0000,7.9787
355000,0.0000,8.6162
360000,0.0000,7.8365
365000,0.0000,7.5052
370000,0.0000,9.7975
375000,0.0000,8.5800
380000,0.0000,9.7726
385000,0.0000,9.2822
390000,0.0000,8.3563
395000,0.0000,8.1874
400000,0.0000,8.0699
405000,0.0000,7.7919
410000,0.0000,8.6764
415000,0.0000,7.4785
420000,0.0000,8.2054
425000,0.0000,8.1710
430000,0.0000,8.0339
435000,0.0000,8.1459
440000,0.0000,8.4517
445000,0.0000,7.3651
450000,0.0000,7.7513
455000,0.0000,8.2040
460000,0.0000,8.5062
465000,0.0000,8.1286
470000,0.0000,7.7054
475000,0.0000,8.3493
480000,0.0000,9.8408
485000,0.0000,8.4264
490000,0.0000,7.7920
495000,0.0000,8.6881
500000,0.0000,8.3083
505000,0.0000,9.5596
510000,0.0000,8.5146
515000,0.0000,9.1266
520000,0.0000,9.2978
525000,0.0000,9.2200
530000,0.0000,9.4439
535000,0.0000,9.7522
540000,0.0000,10.2387
545000,0.0000,7.8574
550000,0.0000,8.8351
555000,0.0000,8.3499
560000,0.0000,8.6288
565000,0.0000,9.5183
570000,0.0000,8.3875
575000,0.0000,8.6552
580000,0.0000,9.5456
585000,0.0000,8.9684
590000,0.0000,8.9652
595000,0.0000,8.0035
600000,0.0000,8.8102
605000,0.0000,7.6463
610000,0.0000,8.5769
615000,0.0000,10.0239
620000,0.0000,8.6120
625000,0.0000,10.1017
630000,0.0000,10.8379
635000,0.0000,7.7305
640000,0.0000,9.0617
645000,0.0000,9.0486
650000,0.0000,9.2375
655000,0.0000,7.8411
660000,0.0000,6.7410
665000,0.0000,9.1490
670000,0.0000,8.7111
675000,0.0000,7.5743
680000,0.0000,8.2608
685000,0.0000,7.0779
690000,0.0000,6.9854
695000,0.0000,8.9834
700000,0.2000,9.4386
705000,0.0000,7.7704
710000,0.0000,8.5976
715000,0.0000,8.8607
720000,0.0000,7.5535
725000,0.0000,8.4308
730000,0.2000,9.1934
735000,0.0000,10.2097
740000,0.0000,7.7698
745000,0.4000,7.8453
750000,0.0000,7.8923
755000,0.4000,7.9545
760000,0.2000,9.5185
765000,0.4000,8.7567
770000,0.4000,8.2377
775000,0.0000,8.5984
780000,0.0000,9.2736
785000,0.0000,10.1828
790000,0.0000,9.9144
795000,0.0000,9.6417
800000,0.0000,9.9499
805000,0.0000,8.4950
810000,0.0000,9.7993
815000,0.0000,8.9704
820000,0.0000,8.2596
825000,0.0000,10.4925
830000,0.0000,10.6761
835000,0.0000,10.0822
840000,0.0000,9.5174
845000,0.0000,9.8448
850000,0.0000,10.1721
855000,0.0000,9.1959
860000,0.0000,10.3213
865000,0.0000,9.6596
870000,0.0000,9.4742
875000,0.0000,9.2440
880000,0.0000,8.6648
885000,0.0000,9.2017
890000,0.0000,9.6125
895000,0.0000,7.7328
900000,0.0000,9.3175
905000,0.0000,8.6271
910000,0.0000,9.0972
915000,0.2000,8.0221
920000,0.0000,9.3647
925000,0.0000,10.1820
930000,0.0000,9.7295
935000,0.0000,10.6523
940000,0.0000,10.7754
945000,0.0000,9.9008
950000,0.0000,8.9986
955000,0.0000,9.8790
960000,0.0000,9.3964
965000,0.0000,9.7923
970000,0.0000,10.1463
975000,0.0000,9.9598
980000,0.0000,10.2199
985000,0.0000,9.4645
990000,0.0000,8.8449
995000,0.0000,9.7503
1000000,0.0000,9.1742
1005000,0.0000,8.5773
1010000,0.0000,8.2771
1015000,0.0000,8.9180
1020000,0.2000,7.4011
1025000,0.0000,9.2642
1030000,0.0000,8.3214
1035000,0.0000,9.5764
1040000,0.0000,8.0603
1045000,0.0000,8.0896
1050000,0.0000,8.2686
1055000,0.0000,9.1257
1060000,0.0000,8.6563
1065000,0.6000,7.3642
1070000,0.0000,8.9769
1075000,0.0000,8.2784
1080000,0.0000,9.9575
1085000,0.0000,8.6411
1090000,0.0000,9.1161
1095000,0.0000,9.0521
1100000,0.0000,7.3663
1105000,0.2000,9.4428
1110000,0.0000,9.9511
1115000,0.2000,10.3338
1120000,0.2000,8.3260
1125000,0.0000,8.4792
1130000,0.0000,8.4306
1135000,0.4000,9.3394
