frames,reward,dist
5000,0.0000,2.6307
10000,0.0000,8.3538
15000,0.0000,9.2366
20000,0.0000,3.8267
25000,0.0000,7.4662
30000,0.0000,4.2152
35000,0.0000,14.5874
40000,0.0000,13.558
45000,0.0000,12.0212
50000,0.0000,13.689
55000,0.0000,13.1951
60000,0.0000,13.3563
65000,0.0000,6.1377
70000,0.0000,8.8107
75000,0.0000,10.9926
80000,0.0000,1.6986
85000,0.0000,13.1991
90000,0.0000,2.4289
95000,0.0000,2.1826
100000,0.0000,11.6405
105000,0.0000,1.5881
110000,0.0000,14.6041
115000,0.0000,2.9933
120000,0.0000,2.4615
125000,0.0000,14.5887
130000,0.0000,4.0332
135000,0.0000,13.2322
140000,0.0000,8.2082
145000,0.0000,13.8719
150000,0.0000,12.7637
155000,0.0000,9.3433
160000,0.0000,2.7559
165000,0.0000,11.8149
170000,0.0000,12.2462
175000,0.0000,12.7483
180000,0.0000,12.4733
185000,0.0000,11.6778
190000,0.0000,12.7879
195000,0.0000,11.7474
200000,0.0000,13.958
205000,0.0000,3.2376
210000,0.0000,12.4291
215000,0.0000,3.5255
220000,0.0000,9.837
225000,0.0000,12.2763
230000,0.0000,10.6173
235000,0.0000,10.3843
240000,0.0000,12.1859
245000,0.0000,4.5953
250000,0.0000,4.7665
255000,0.0000,12.0709
260000,0.0000,5.4427
265000,0.0000,9.7219
270000,0.0000,12.1
275000,0.0000,10.2753
280000,0.0000,10.7315
285000,0.0000,13.8613
290000,0.0000,5.7869
295000,0.0000,6.1033
300000,0.0000,5.1007
305000,0.0000,11.7171
310000,0.0000,11.2891
315000,0.0000,10.933
320000,0.0000,10.5058
325000,0.0000,6.1858
330000,0.0000,10.7368
335000,0.0000,11.4501
340000,0.0000,11.007
345000,0.0000,9.1404
350000,0.0000,10.1071
355000,0.0000,11.0957
360000,0.0000,10.8167
365000,0.0000,11.5339
370000,0.0000,11.044
375000,0.0000,11.8638
380000,0.0000,11.497
385000,0.0000,11.4047
390000,0.0000,10.7933
395000,0.0000,11.427
400000,0.0000,12.5844
405000,0.0000,11.7672
410000,0.0000,11.824
415000,0.0000,11.8359
420000,0.0000,11.0669
425000,0.0000,11.0045
430000,0.0000,10.0593
435000,0.0000,12.1611
440000,0.0000,13.2728
445000,0.0000,9.6406
450000,0.0000,11.3364
455000,0.0000,10.8801
460000,0.0000,10.0696
465000,0.0000,12.2592
470000,0.0000,10.6854
475000,0.0000,13.5212
480000,0.0000,12.0575
485000,0.0000,11.2412
490000,0.0000,10.9717
495000,0.0000,10.3115
500000,0.0000,11.4572
505000,0.0000,11.1269
510000,0.0000,11.8888
515000,0.0000,11.2376
520000,0.0000,12.9066
525000,0.0000,11.6225
530000,0.0000,11.9332
535000,0.0000,11.3649
540000,0.0000,11.4353
545000,0.0000,10.4868
550000,0.0000,11.9443
555000,0.0000,11.3047
560000,0.0000,12.4112
565000,0.0000,13.7513
570000,0.0000,12.0128
575000,0.0000,12.3543
580000,0.0000,10.221
585000,0.0000,13.1228
590000,0.0000,12.4648
595000,0.0000,12.8075
600000,0.0000,12.0598
605000,0.0000,13.1317
610000,0.0000,13.2015
615000,0.0000,11.1097
620000,0.0000,10.8886
625000,0.0000,12.4356
630000,0.0000,11.0611
635000,0.0000,10.3826
640000,0.0000,11.1874
645000,0.0000,10.3435
650000,0.0000,11.8039
655000,0.0000,9.805
660000,0.0000,11.3066
665000,0.0000,11.3094
670000,0.0000,10.3105
675000,0.0000,12.3885
680000,0.0000,10.0698
685000,0.0000,10.0535
690000,0.0000,10.7029
695000,0.0000,12.0098
700000,0.0000,10.9684
705000,0.0000,10.78
710000,0.0000,12.0792
715000,0.0000,10.9329
720000,0.0000,11.6366
725000,0.0000,12.1395
730000,0.0000,12.204
735000,0.0000,10.6939
740000,0.0000,12.3172
745000,0.0000,11.5474
750000,0.0000,11.2707
755000,0.0000,11.1529
760000,0.0000,11.4742
765000,0.0000,10.2558
770000,0.0000,10.9512
775000,0.0000,11.3092
780000,0.0000,11.9802
785000,0.0000,11.5376
790000,0.0000,10.9695
795000,0.0000,12.004
800000,0.0000,11.1784
805000,0.0000,12.9308
810000,0.0000,11.9103
815000,0.0000,11.7886
820000,0.0000,11.0437
825000,0.0000,12.5641
830000,0.0000,12.2352
835000,0.0000,13.0443
840000,0.0000,11.5024
845000,0.0000,12.3973
850000,0.0000,12.6055
855000,0.0000,12.5289
860000,0.0000,12.7105
865000,0.0000,13.0233
870000,0.0000,10.3008
875000,0.0000,12.1334
880000,0.0000,10.679
885000,0.0000,12.5592
890000,0.0000,11.832
895000,0.0000,11.2283
900000,0.0000,12.1883
905000,0.2000,11.007
910000,0.0000,12.1063
915000,0.0000,10.8976
920000,0.0000,12.4801
925000,0.4000,11.7963
930000,0.0000,10.4827
935000,0.0000,12.8785
940000,0.0000,11.4366
945000,0.0000,11.5856
950000,0.0000,12.7433
955000,0.2000,11.0474
960000,0.0000,11.9332
965000,0.0000,11.1433
970000,0.0000,12.0409
975000,1.0000,12.1825
980000,0.0000,12.6759
985000,0.0000,12.1026
990000,0.0000,11.555
995000,0.0000,12.2033
1000000,0.0000,12.867
1005000,0.0000,12.3857
1010000,0.0000,11.5624
1015000,0.0000,11.1504
1020000,0.0000,12.4159
1025000,0.0000,11.6334
1030000,0.0000,12.8108
1035000,0.0000,11.3829
1040000,0.0000,11.6478
1045000,0.0000,12.0689
1050000,0.0000,12.145
1055000,0.0000,12.4548
1060000,0.0000,12.8498
1065000,0.0000,12.8347
1070000,0.2000,12.2442
1075000,0.0000,11.9392
1080000,0.0000,11.9977
1085000,0.0000,11.7674
1090000,0.0000,13.222
1095000,0.0000,11.7988
1100000,1.0000,12.822
1105000,0.0000,11.3724
1110000,0.6000,12.5103
1115000,0.8000,12.8053
1120000,0.0000,11.5258
1125000,0.0000,12.2781
1130000,0.0000,11.3607
1135000,0.0000,12.7447
1140000,0.0000,12.4827
1145000,0.0000,11.0843
1150000,0.0000,10.8563
1155000,1.0000,12.2126
1160000,1.0000,11.6856
1165000,0.8000,13.1945
1170000,1.0000,12.4369
1175000,0.8000,10.9995
1180000,1.0000,11.1951
1185000,1.0000,11.7476
1190000,0.0000,12.3033
1195000,0.0000,12.2196
1200000,1.0000,11.8013
1205000,0.2000,11.7077
1210000,0.8000,10.4453
1215000,0.0000,11.6397
1220000,1.0000,11.5391
1225000,1.0000,11.6745
1230000,1.0000,12.2385
1235000,0.0000,12.3239
1240000,0.8000,13.0745
1245000,0.0000,11.085
1250000,1.0000,11.9118
1255000,0.0000,11.9606
1260000,1.0000,10.7367
1265000,0.8000,12.0211
1270000,1.0000,11.544
1275000,0.2000,11.273
1280000,0.8000,12.5293
1285000,0.2000,10.6116
1290000,1.0000,12.192
1295000,0.0000,11.4059
1300000,0.0000,12.8523
1305000,0.0000,11.7885
1310000,0.0000,10.7898
1315000,0.0000,10.1874
1320000,1.0000,11.5421
1325000,0.0000,11.2836
1330000,0.2000,11.5406
1335000,1.0000,11.2256
1340000,0.0000,12.4393
1345000,0.4000,10.5101
1350000,0.0000,10.519
1355000,0.0000,11.7047
1360000,0.8000,11.0241
1365000,0.0000,12.5753
1370000,0.0000,11.607
1375000,0.0000,11.6725
1380000,0.0000,11.4673
1385000,0.4000,10.6888
1390000,0.2000,10.8722
1395000,0.8000,11.2017
1400000,0.0000,10.072
1405000,0.0000,10.6979
1410000,0.0000,11.1886
1415000,0.0000,11.6896
1420000,0.8000,11.1277
1425000,0.0000,10.7343
1430000,0.0000,12.1107
1435000,1.0000,10.8327
1440000,1.0000,11.1053
1445000,0.0000,12.3555
1450000,0.6000,11.2277
1455000,0.4000,10.7563
1460000,0.6000,11.4044
1465000,0.0000,10.6128
1470000,0.0000,12.9189
1475000,0.0000,10.0319
1480000,0.0000,11.2668
1485000,1.0000,11.1198
1490000,0.0000,8.7808
1495000,0.0000,12.4452
1500000,0.0000,10.4032
1505000,0.0000,11.6719
1510000,1.0000,10.5889
1515000,1.0000,11.012
1520000,0.0000,12.193
1525000,0.0000,11.2891
1530000,1.0000,10.4882
1535000,0.0000,12.1722
1540000,0.4000,11.4028
1545000,0.8000,11.6377
1550000,1.0000,12.074
1555000,0.8000,10.6873
1560000,0.0000,9.5232
1565000,0.0000,11.8069
1570000,0.4000,11.6556
1575000,0.0000,12.0827
1580000,0.4000,12.0481
1585000,1.0000,12.4194
1590000,1.0000,11.934
1595000,0.0000,10.6652
1600000,0.0000,11.6073
1605000,0.0000,11.1326
1610000,0.0000,11.7289
1615000,1.0000,11.5694
1620000,1.0000,10.8265
1625000,0.0000,11.2745
1630000,0.0000,11.5023
1635000,0.4000,12.1654
1640000,0.0000,9.2813
1645000,0.6000,12.5667
1650000,1.0000,11.3237
