frames,reward,dist
5000,0.0000,3.4551
10000,0.0000,7.2746
15000,0.0000,10.4567
20000,0.0000,3.6472
25000,0.0000,8.5286
30000,0.0000,4.5957
35000,0.0000,14.6115
40000,0.0000,14.0962
45000,0.0000,12.3804
50000,0.0000,11.9553
55000,0.0000,14.4576
60000,0.0000,14.3236
65000,0.0000,5.7369
70000,0.0000,9.1061
75000,0.0000,12.0712
80000,0.0000,2.7578
85000,0.0000,12.1483
90000,0.0000,1.8395
95000,0.0000,3.5073
100000,0.0000,11.6368
105000,0.0000,3.0235
110000,0.0000,14.6854
115000,0.0000,2.9109
120000,0.0000,3.2418
125000,0.0000,14.3337
130000,0.0000,3.1903
135000,0.0000,12.3017
140000,0.0000,7.7602
145000,0.0000,13.8268
150000,0.0000,11.649
155000,0.0000,10.8772
160000,0.0000,3.7964
165000,0.0000,10.9959
170000,0.0000,12.6079
175000,0.0000,13.0307
180000,0.0000,12.6526
185000,0.0000,11.4897
190000,0.0000,12.9174
195000,0.0000,11.2892
200000,0.0000,13.4721
205000,0.0000,3.1444
210000,0.0000,12.7105
215000,0.0000,2.7053
220000,0.0000,9.7935
225000,0.0000,11.7579
230000,0.0000,9.6687
235000,0.0000,11.5304
240000,0.0000,11.9525
245000,0.0000,5.7536
250000,0.0000,4.8133
255000,0.0000,11.6888
260000,0.0000,4.2842
265000,0.0000,10.6679
270000,0.0000,12.0189
275000,0.0000,11.1365
280000,0.0000,11.4482
285000,0.0000,14.1318
290000,0.0000,6.6901
295000,0.0000,7.1693
300000,0.0000,4.7966
305000,0.0000,11.3979
310000,0.0000,10.9579
315000,0.0000,12.2275
320000,0.0000,10.2167
325000,0.0000,6.1194
330000,0.0000,8.8664
335000,0.0000,11.9214
340000,0.0000,11.3877
345000,0.0000,11.0097
350000,0.0000,10.2402
355000,0.0000,11.6525
360000,0.0000,11.8626
365000,0.0000,11.3373
370000,0.0000,11.802
375000,0.0000,10.6115
380000,0.0000,11.8415
385000,0.0000,12.0502
390000,0.0000,10.2187
395000,0.0000,11.4711
400000,0.0000,12.7341
405000,0.0000,11.5325
410000,0.0000,11.6701
415000,0.0000,12.0506
420000,0.0000,10.9124
425000,0.0000,12.2512
430000,0.0000,11.4282
435000,0.0000,11.6543
440000,0.0000,13.3489
445000,0.0000,10.5675
450000,0.0000,10.1644
455000,0.0000,12.399
460000,0.0000,9.2413
465000,0.0000,11.9148
470000,0.0000,10.7799
475000,0.0000,13.1213
480000,0.0000,11.4653
485000,0.0000,11.1102
490000,0.0000,11.3368
495000,0.0000,10.5285
500000,0.0000,11.3857
505000,0.0000,11.3909
510000,0.0000,11.5353
515000,0.0000,11.6341
520000,0.0000,12.1518
525000,0.0000,11.6582
530000,0.0000,12.5587
535000,0.0000,12.2598
540000,0.0000,11.6267
545000,0.0000,12.3851
550000,0.0000,12.3483
555000,0.0000,11.5103
560000,0.0000,12.8625
565000,0.0000,12.896
570000,0.0000,11.885
575000,0.0000,10.7614
580000,0.0000,10.8227
585000,0.0000,11.8191
590000,0.0000,13.3425
595000,0.0000,12.438
600000,0.0000,12.1558
605000,0.0000,12.6025
610000,0.0000,12.856
615000,0.0000,11.107
620000,0.0000,12.2441
625000,0.0000,12.0009
630000,0.0000,11.2705
635000,0.0000,10.6883
640000,0.0000,10.1625
645000,0.0000,10.3295
650000,0.0000,11.5823
655000,0.0000,10.2087
660000,0.0000,10.1558
665000,0.0000,12.3078
670000,0.0000,10.1273
675000,0.0000,11.2464
680000,0.0000,11.0204
685000,0.0000,10.9056
690000,0.0000,11.1825
695000,0.0000,12.5742
700000,0.0000,11.0209
705000,0.0000,10.9946
710000,0.0000,11.0874
715000,0.2000,9.8458
720000,0.2000,11.2463
725000,0.4000,11.8834
730000,0.0000,11.5674
735000,0.0000,10.5006
740000,0.0000,12.8854
745000,0.2000,12.8809
750000,0.4000,11.7189
755000,0.0000,11.6491
760000,0.0000,12.1783
765000,0.0000,11.2942
770000,0.0000,10.6857
775000,0.0000,11.8912
780000,0.0000,10.9919
785000,0.2000,10.5614
790000,0.0000,11.5853
795000,0.4000,12.5766
800000,0.0000,12.599
805000,0.2000,12.0402
810000,0.0000,12.0879
815000,0.0000,11.3567
820000,0.0000,11.4102
825000,0.0000,12.4413
830000,0.0000,11.9574
835000,0.0000,11.9467
840000,0.0000,13.1012
845000,0.0000,11.8215
850000,0.0000,11.8961
855000,0.0000,11.1488
860000,0.0000,11.7626
865000,0.2000,12.9137
870000,0.2000,10.2391
875000,0.4000,13.0043
880000,0.2000,12.0054
885000,0.2000,11.6293
890000,0.0000,12.5478
895000,0.0000,11.6287
900000,0.0000,11.6982
905000,0.4000,11.1285
910000,0.4000,12.0875
915000,0.2000,11.1999
920000,0.0000,10.8593
925000,0.6000,11.9273
930000,0.0000,11.7315
935000,0.4000,12.1919
940000,0.2000,11.072
945000,0.0000,11.659
950000,0.0000,13.1881
955000,0.2000,11.8944
960000,0.2000,11.823
965000,0.4000,12.0312
970000,0.0000,11.1299
975000,0.0000,12.1995
980000,0.2000,11.7317
985000,0.2000,10.8466
990000,0.0000,11.1026
995000,0.2000,11.9946
1000000,0.0000,12.2248
1005000,0.4000,12.2706
1010000,0.0000,11.4383
1015000,0.2000,11.1542
1020000,0.0000,12.0479
1025000,0.2000,12.1846
1030000,0.0000,12.0399
1035000,0.0000,10.722
1040000,0.0000,13.0362
1045000,0.0000,12.1108
1050000,0.0000,12.1479
1055000,0.0000,11.9638
1060000,0.0000,11.1331
1065000,0.2000,11.486
1070000,0.2000,11.9428
1075000,0.4000,12.6633
1080000,0.4000,11.4974
1085000,0.0000,12.4479
1090000,0.0000,12.6079
1095000,0.8000,11.2835
1100000,0.8000,11.8025
1105000,0.0000,11.9504
1110000,0.0000,12.6809
1115000,0.4000,12.4941
1120000,0.2000,11.9779
1125000,0.2000,11.7733
1130000,0.0000,11.8371
1135000,0.0000,13.3873
1140000,0.0000,12.8445
1145000,0.0000,12.9317
1150000,0.2000,11.6157
1155000,0.2000,11.2713
1160000,1.0000,11.615
1165000,0.2000,12.2271
1170000,0.0000,11.9013
1175000,1.0000,10.9902
1180000,0.2000,9.3535
1185000,1.0000,11.7045
1190000,0.4000,11.6037
1195000,0.2000,12.1972
1200000,0.0000,13.0273
1205000,0.0000,11.3343
1210000,0.4000,10.6001
1215000,0.2000,11.4031
1220000,0.6000,12.2064
1225000,0.2000,11.152
1230000,0.4000,12.2703
1235000,0.4000,12.5765
1240000,0.4000,12.244
1245000,0.0000,11.3678
1250000,0.4000,12.7951
1255000,0.0000,11.7923
1260000,0.8000,11.9116
1265000,1.0000,10.7054
1270000,0.2000,11.6161
1275000,0.0000,12.6958
1280000,0.2000,12.9747
1285000,0.2000,11.938
1290000,0.2000,10.6926
1295000,0.4000,11.2236
1300000,0.4000,12.8496
1305000,0.4000,11.8886
1310000,0.2000,10.8798
1315000,0.0000,10.6883
1320000,0.0000,12.3129
1325000,0.4000,9.9303
1330000,0.2000,11.3546
1335000,1.0000,10.8801
1340000,0.2000,12.8049
1345000,0.4000,10.9245
1350000,0.0000,11.8329
1355000,0.4000,10.6554
1360000,0.4000,10.9759
1365000,0.0000,11.2518
1370000,0.0000,11.4986
1375000,0.2000,12.6616
1380000,0.2000,10.4373
1385000,0.2000,11.6746
1390000,0.0000,10.0165
1395000,0.6000,13.0125
1400000,0.4000,10.9586
1405000,0.0000,10.7066
1410000,0.8000,11.6538
1415000,0.2000,11.2372
1420000,0.0000,10.0782
1425000,0.2000,10.7509
1430000,0.0000,11.8019
1435000,0.4000,11.0588
1440000,0.2000,12.0535
1445000,0.2000,11.7504
1450000,0.8000,12.1168
1455000,0.2000,11.8149
1460000,0.2000,12.0897
1465000,0.4000,11.7124
1470000,0.4000,11.9265
1475000,0.0000,10.3421
1480000,0.2000,11.4249
1485000,0.4000,11.379
1490000,0.0000,10.1691
1495000,0.0000,11.855
1500000,0.0000,11.0647
1505000,0.4000,11.8691
1510000,0.6000,11.9895
1515000,0.8000,11.6887
1520000,0.0000,10.6043
1525000,0.0000,10.3103
1530000,0.2000,10.7696
1535000,0.2000,12.2581
1540000,0.4000,11.9279
1545000,0.6000,11.3364
1550000,0.2000,11.8327
1555000,0.6000,11.7365
1560000,0.0000,9.3519
1565000,0.0000,12.2281
1570000,0.6000,11.9923
1575000,0.2000,11.8199
1580000,0.4000,10.7199
1585000,1.0000,11.13
1590000,1.0000,11.7438
1595000,0.2000,11.9461
1600000,0.0000,11.41
1605000,0.0000,11.2161
1610000,1.0000,11.2532
1615000,0.8000,11.8748
1620000,0.4000,10.6593
1625000,0.0000,11.037
1630000,0.4000,11.4259
1635000,0.4000,10.6732
1640000,0.4000,10.3293
1645000,0.0000,11.8304
1650000,0.8000,10.3681
1655000,0.8000,10.3077
1660000,0.6000,11.9777
1665000,0.0000,11.9733
1670000,0.4000,11.134
1675000,0.0000,11.1437
1680000,0.8000,12.8436
1685000,0.4000,12.0645
1690000,0.0000,12.937
1695000,0.2000,12.5402
1700000,0.2000,12.2209
1705000,0.2000,11.8208
1710000,0.0000,10.9459
1715000,0.2000,10.3618
1720000,0.4000,11.2512
1725000,0.2000,14.0054
1730000,0.4000,11.7054
1735000,0.4000,10.9326
1740000,0.6000,13.0049
1745000,0.0000,10.3849
1750000,0.0000,12.0982
1755000,0.0000,10.8717
1760000,0.6000,12.7383
1765000,0.4000,11.2382
1770000,1.0000,11.9423
1775000,0.2000,12.1456
1780000,0.6000,11.5635
1785000,0.6000,10.3721
1790000,1.0000,10.578
1795000,0.8000,11.4289
1800000,0.2000,10.1552
1805000,0.6000,11.9133
1810000,0.2000,11.5439
1815000,0.4000,11.3855
1820000,0.8000,11.6319
1825000,0.6000,11.2099
1830000,0.6000,10.5221
1835000,0.6000,10.372
1840000,0.2000,11.1188
1845000,0.8000,11.4973
1850000,0.6000,9.5933
1855000,0.6000,12.1251
1860000,1.0000,11.0613
1865000,0.8000,11.3904
1870000,0.2000,10.8811
1875000,0.2000,11.3197
1880000,0.8000,10.6916
1885000,0.2000,10.4075
1890000,0.2000,9.9712
1895000,0.2000,9.3941
1900000,0.4000,11.4532
1905000,0.8000,10.7382
1910000,0.4000,10.8649
1915000,0.2000,11.2955
1920000,0.4000,10.7787
1925000,0.2000,9.5104
1930000,1.0000,10.1335
1935000,0.2000,10.3554
1940000,0.2000,10.4008
1945000,0.2000,9.8245
1950000,0.0000,12.7911
1955000,0.4000,11.1436
1960000,0.8000,12.663
1965000,0.0000,11.5239
1970000,0.4000,11.7621
1975000,0.6000,9.8463
1980000,0.2000,11.9861
1985000,0.2000,11.9717
1990000,0.4000,11.0161
1995000,0.6000,12.4117
2000000,0.2000,11.3216
2005000,0.4000,10.0384
2010000,0.0000,11.9597
2015000,0.0000,8.7754
2020000,0.0000,11.7637
2025000,0.2000,11.6973
2030000,0.4000,11.3263
2035000,0.6000,11.6723
2040000,0.4000,11.0276
2045000,0.8000,12.2967
2050000,0.6000,8.7045
2055000,0.2000,11.3557
2060000,0.4000,10.9135
2065000,0.4000,10.7816
2070000,0.4000,9.253
2075000,0.4000,10.6146
2080000,0.4000,10.8897
2085000,0.4000,10.6161
2090000,0.0000,10.4238
2095000,0.4000,9.681
2100000,0.4000,11.5033
2105000,0.4000,11.4937
2110000,0.8000,9.9812
2115000,0.2000,12.1635
2120000,0.0000,10.9569
2125000,0.6000,12.2237
2130000,0.8000,9.1891
2135000,0.8000,10.7141
2140000,0.4000,10.3602
2145000,0.2000,10.6525
2150000,0.2000,9.9325
2155000,0.8000,11.9855
2160000,0.4000,10.7636
2165000,0.0000,10.8515
2170000,0.4000,9.0821
2175000,0.4000,11.597
2180000,0.4000,10.5345
2185000,1.0000,9.8143
2190000,0.6000,9.5014
2195000,0.4000,10.3998
2200000,0.2000,10.6981
2205000,0.0000,10.785
2210000,0.6000,9.8167
2215000,0.0000,9.2874
2220000,0.4000,11.4142
2225000,0.2000,10.9715
2230000,0.2000,10.0316
2235000,0.0000,9.6852
2240000,0.0000,11.7844
2245000,0.4000,11.6196
2250000,0.6000,10.1507
2255000,0.4000,11.3299
2260000,1.0000,10.9487
2265000,0.8000,11.1484
2270000,0.6000,11.1435
2275000,0.4000,10.6503
2280000,0.2000,11.3054
2285000,0.2000,10.945
2290000,0.2000,12.5097
2295000,0.2000,12.3062
2300000,0.8000,9.4705
2305000,0.8000,10.3736
2310000,0.6000,11.1394
2315000,0.6000,12.1638
2320000,0.6000,9.4966
2325000,0.8000,9.206
2330000,0.2000,12.3179
2335000,0.8000,9.2134
2340000,0.2000,10.4444
2345000,0.6000,11.797
2350000,0.4000,11.7876
2355000,0.4000,9.7485
2360000,0.8000,11.6225
2365000,0.8000,11.8439
2370000,0.8000,8.8893
2375000,0.6000,11.4034
2380000,0.4000,11.2761
2385000,0.6000,9.2613
2390000,0.2000,10.3668
2395000,1.0000,10.3486
2400000,0.6000,10.9942
2405000,0.6000,9.8749
2410000,0.8000,10.2348
2415000,0.6000,11.1083
2420000,0.8000,10.1852
2425000,0.0000,12.1509
2430000,0.2000,12.3673
2435000,0.6000,11.9496
2440000,1.0000,10.959
2445000,1.0000,8.6337
2450000,0.8000,8.6785
2455000,0.4000,9.4121
2460000,0.2000,12.4887
