frames,reward,dist
5000,0.0000,11.2836
10000,0.0000,8.5532
15000,0.0000,10.5182
20000,0.0000,10.6573
25000,0.0000,9.8827
30000,0.0000,7.9287
35000,0.0000,4.2895
40000,0.0000,6.0795
45000,0.0000,4.9365
50000,0.0000,5.3001
55000,0.0000,5.7385
60000,0.0000,2.1480
65000,0.0000,4.1451
70000,0.0000,5.1704
75000,0.0000,8.7542
80000,0.0000,6.8206
85000,0.0000,7.0651
90000,0.0000,5.6660
95000,0.0000,3.6741
100000,0.0000,6.9345
105000,0.0000,7.8119
110000,0.0000,10.1361
115000,0.0000,11.9896
120000,0.0000,10.1190
125000,0.0000,10.2772
130000,0.0000,10.0373
135000,0.0000,10.4145
140000,0.0000,8.5492
145000,0.0000,6.7260
150000,0.0000,4.1253
155000,0.0000,5.9966
160000,0.0000,6.9799
165000,0.0000,6.1437
170000,0.0000,8.7080
175000,0.0000,8.3436
180000,0.0000,6.6420
185000,0.0000,6.3276
190000,0.0000,12.0827
195000,0.0000,10.0896
200000,0.0000,6.1351
205000,0.0000,9.3378
210000,0.0000,5.8475
215000,0.0000,6.8879
220000,0.0000,8.7754
225000,0.0000,7.4200
230000,0.0000,10.9825
235000,0.0000,11.6413
240000,0.0000,9.6732
245000,0.0000,8.8163
250000,0.0000,7.5110
255000,0.0000,10.3937
260000,0.0000,7.1843
265000,0.0000,9.3116
270000,0.0000,9.9442
275000,0.0000,7.5129
280000,0.0000,7.8470
285000,0.0000,6.3336
290000,0.0000,9.3619
295000,0.0000,9.2466
300000,0.0000,6.6215
305000,0.0000,8.1325
310000,0.0000,9.3842
315000,0.0000,9.7817
320000,0.0000,10.0899
325000,0.0000,9.2312
330000,0.0000,8.4383
335000,0.0000,6.7661
340000,0.0000,9.2126
345000,0.0000,8.5397
350000,0.0000,8.1668
355000,0.0000,10.5432
360000,0.0000,8.6988
365000,0.0000,8.9135
370000,0.0000,10.3670
375000,0.0000,7.7500
380000,0.0000,8.2498
385000,0.0000,9.7246
390000,0.0000,9.9529
395000,0.0000,9.5507
400000,0.0000,8.9603
405000,0.0000,7.2769
410000,0.0000,6.6969
415000,0.0000,10.5592
420000,0.0000,8.1523
425000,0.0000,8.3568
430000,0.0000,8.9644
435000,0.0000,8.4623
440000,0.0000,7.1655
445000,0.0000,8.7954
450000,0.0000,6.7572
455000,0.0000,7.0066
460000,0.0000,7.3085
465000,0.0000,7.8102
470000,0.0000,8.9728
475000,0.0000,7.3791
480000,0.0000,8.7542
485000,0.0000,7.1043
490000,0.0000,7.2349
495000,0.0000,7.0217
500000,0.0000,6.4549
505000,0.0000,8.8429
510000,0.0000,6.5561
515000,0.0000,9.7205
520000,0.0000,7.9933
525000,0.0000,6.6499
530000,0.0000,7.2311
535000,0.0000,8.2949
540000,0.0000,7.2129
545000,0.0000,7.1477
550000,0.0000,8.2070
555000,0.0000,7.9892
560000,0.0000,6.7472
565000,0.0000,8.4595
570000,0.0000,6.8716
575000,0.0000,6.7011
580000,0.0000,8.5182
585000,0.0000,9.1221
590000,0.0000,9.2707
595000,0.0000,8.1378
600000,0.0000,7.6900
605000,0.0000,6.1758
610000,0.0000,7.5247
615000,0.0000,10.0235
620000,0.0000,8.1383
625000,0.0000,7.7476
630000,0.0000,7.7050
635000,0.0000,6.8351
640000,0.0000,7.3941
645000,0.0000,8.4553
650000,0.0000,7.0133
655000,0.0000,9.1112
660000,0.0000,9.1307
665000,0.0000,5.8669
670000,0.0000,9.9253
675000,0.0000,8.0457
680000,0.0000,7.6298
685000,0.0000,7.1540
690000,0.0000,5.2490
695000,0.0000,8.3783
700000,0.0000,7.2233
705000,0.0000,8.1800
710000,0.0000,7.6601
715000,0.0000,8.1524
720000,0.0000,9.1691
725000,0.0000,7.8110
730000,0.0000,6.7274
735000,0.0000,8.6106
740000,0.0000,6.7908
745000,0.0000,7.2953
750000,0.0000,7.5423
755000,0.0000,6.6886
760000,0.0000,7.6349
765000,0.0000,7.0959
770000,0.0000,7.9297
775000,0.0000,7.7264
780000,0.0000,7.1931
785000,0.0000,8.8723
790000,0.0000,7.2444
795000,0.0000,6.2351
800000,0.0000,7.6113
805000,0.0000,7.2732
810000,0.0000,6.7686
815000,0.0000,6.4805
820000,0.0000,6.4563
825000,0.0000,8.0242
830000,0.0000,7.5560
835000,0.0000,6.6912
840000,0.0000,6.1656
845000,0.0000,6.0678
850000,0.0000,6.5212
855000,0.0000,7.2991
860000,0.0000,7.3146
865000,0.0000,6.2016
870000,0.0000,6.7564
875000,0.0000,7.9239
880000,0.0000,7.7260
885000,0.0000,7.4101
890000,0.0000,7.7537
895000,0.0000,7.9539
900000,0.0000,7.9995
905000,0.0000,7.1440
910000,0.0000,6.8082
915000,0.0000,7.0131
920000,0.0000,6.9684
925000,0.0000,7.9906
930000,0.0000,7.9120
935000,0.0000,7.3900
