frames,reward,dist
5000,0.0000,5.9933
10000,0.0000,6.0790
15000,0.0000,9.0191
20000,0.0000,9.3902
25000,0.0000,8.7600
30000,0.0000,8.1521
35000,0.0000,8.9499
40000,0.0000,8.5902
45000,0.0000,7.8416
50000,0.0000,7.3168
55000,0.0000,8.1208
60000,0.0000,8.0169
65000,0.0000,7.0495
70000,0.0000,6.8087
75000,0.0000,6.7709
80000,0.0000,6.5537
85000,0.0000,7.2243
90000,0.0000,6.8156
95000,0.0000,7.6541
100000,0.0000,7.0066
105000,0.0000,8.2203
110000,0.0000,7.1769
115000,0.0000,8.4501
120000,0.0000,7.5600
125000,0.0000,8.0901
130000,0.0000,8.4243
135000,0.0000,6.9767
140000,0.0000,8.5600
145000,0.0000,8.7811
150000,0.0000,7.4968
155000,0.0000,8.8646
160000,0.0000,7.8879
165000,0.0000,8.2266
170000,0.0000,8.6555
175000,0.0000,8.4627
180000,0.0000,8.7758
185000,0.0000,7.3794
190000,0.0000,7.6798
195000,0.0000,8.8350
200000,0.0000,7.9318
205000,0.0000,7.4660
210000,0.0000,7.6675
215000,0.0000,7.6898
220000,0.0000,8.4317
225000,0.0000,7.1387
230000,0.0000,8.6257
235000,0.0000,7.1930
240000,0.0000,8.9255
245000,0.0000,7.2729
250000,0.0000,9.1632
255000,0.0000,6.3571
260000,0.0000,8.2947
265000,0.0000,9.3350
270000,0.0000,7.1143
275000,0.0000,8.0753
280000,0.0000,8.8776
285000,0.0000,8.8977
290000,0.0000,7.8464
295000,0.0000,7.7858
300000,0.0000,8.8561
305000,0.0000,8.6804
310000,0.0000,8.4100
315000,0.0000,8.1727
320000,0.0000,7.2157
325000,0.0000,7.4167
330000,0.0000,7.8050
335000,0.0000,7.5595
340000,0.0000,8.9688
345000,0.0000,7.8065
350000,0.0000,7.2576
355000,0.0000,9.3460
360000,0.0000,9.1360
365000,0.0000,7.9770
370000,0.0000,8.5722
375000,0.0000,7.9857
380000,0.0000,8.7469
385000,0.0000,7.9390
390000,0.0000,9.8992
395000,0.0000,9.5909
400000,0.0000,7.6393
405000,0.0000,9.7641
410000,0.0000,9.5630
415000,0.0000,8.9809
420000,0.0000,10.3000
425000,0.0000,8.6182
430000,0.0000,9.1830
435000,0.0000,9.1799
440000,0.0000,9.2026
445000,0.0000,8.6986
450000,0.0000,9.3956
455000,0.0000,9.7207
460000,0.0000,8.3524
465000,0.0000,8.3501
470000,0.0000,8.3734
475000,0.0000,7.7277
480000,0.0000,8.8089
485000,0.0000,9.5543
490000,0.0000,9.0454
495000,0.0000,9.1797
500000,0.0000,8.9983
505000,0.0000,8.7206
510000,0.0000,9.4572
515000,0.0000,9.7633
520000,0.0000,8.6879
525000,0.0000,9.2193
530000,0.0000,10.7117
535000,0.0000,8.4229
540000,0.0000,9.1872
545000,0.0000,8.6099
550000,0.0000,9.2246
555000,0.0000,8.8226
560000,0.0000,9.4042
565000,0.0000,9.7322
570000,0.0000,9.0220
575000,0.0000,8.9736
580000,0.0000,7.8158
585000,0.0000,9.5123
590000,0.0000,8.0133
595000,0.0000,8.0944
600000,0.0000,8.8781
605000,0.0000,8.9555
610000,0.0000,9.2597
615000,0.0000,8.2002
620000,0.0000,9.5701
625000,0.0000,8.2506
630000,0.0000,9.0635
635000,0.0000,8.8303
640000,0.0000,7.8587
645000,0.0000,9.2970
650000,0.0000,8.9304
655000,0.0000,9.2649
660000,0.0000,8.5279
665000,0.0000,8.8987
670000,0.0000,8.9993
675000,0.0000,8.4464
680000,0.0000,8.3668
685000,0.0000,9.0338
690000,0.0000,8.5413
695000,0.0000,8.8346
700000,0.0000,9.1547
705000,0.0000,9.4132
710000,0.0000,9.4821
715000,0.0000,9.8826
720000,0.0000,9.1416
725000,0.0000,8.1136
730000,0.0000,8.8821
735000,0.0000,8.9572
740000,0.0000,9.5110
745000,0.0000,8.8391
750000,0.0000,9.7462
755000,0.0000,8.4773
760000,0.0000,9.2753
765000,0.0000,9.4924
770000,0.0000,9.6183
775000,0.0000,9.4355
780000,0.0000,10.1024
785000,0.0000,8.9035
790000,0.0000,7.5085
795000,0.0000,8.6813
800000,0.0000,8.7513
805000,0.0000,9.0569
810000,0.0000,9.6483
815000,0.0000,9.5311
820000,0.0000,9.0727
825000,0.0000,8.2811
830000,0.0000,9.3961
835000,0.0000,8.7542
840000,0.0000,9.2840
845000,0.0000,9.0349
850000,0.0000,8.8604
855000,0.0000,10.4105
860000,0.0000,8.9052
865000,0.0000,9.1066
870000,0.0000,9.2390
875000,0.0000,8.9247
880000,0.0000,9.5967
885000,0.0000,9.2724
