frames,reward,dist
5000,0.0000,5.9933
10000,0.0000,6.0790
15000,0.0000,9.0191
20000,0.0000,9.3902
25000,0.0000,8.7600
30000,0.0000,8.1521
35000,0.0000,8.9499
40000,0.0000,8.5902
45000,0.0000,7.8416
50000,0.0000,7.3168
55000,0.0000,8.1208
60000,0.0000,8.0169
65000,0.0000,7.0495
70000,0.0000,6.8087
75000,0.0000,6.7709
80000,0.0000,6.5537
85000,0.0000,7.2243
90000,0.0000,6.8156
95000,0.0000,7.6541
100000,0.0000,7.0066
105000,0.0000,8.2203
110000,0.0000,7.1769
115000,0.0000,8.4501
120000,0.0000,7.5600
125000,0.0000,8.0901
130000,0.0000,8.4243
135000,0.0000,6.9767
140000,0.0000,8.5600
145000,0.0000,8.7811
150000,0.0000,7.4968
155000,0.0000,8.8646
160000,0.0000,7.8879
165000,0.0000,8.2266
170000,0.0000,8.6555
175000,0.0000,8.4627
180000,0.0000,8.7758
185000,0.0000,7.3794
190000,0.0000,7.6798
195000,0.0000,8.8350
200000,0.0000,7.9318
205000,0.0000,7.4660
210000,0.0000,7.6675
215000,0.0000,7.6898
220000,0.0000,8.4317
225000,0.0000,7.1387
230000,0.0000,8.6257
235000,0.0000,7.1930
240000,0.0000,8.9255
245000,0.0000,7.2729
250000,0.0000,9.1632
255000,0.0000,6.3571
260000,0.0000,8.2947
265000,0.0000,9.3350
270000,0.0000,7.1143
275000,0.0000,8.0753
280000,0.0000,8.8776
285000,0.0000,8.8977
290000,0.0000,7.8464
295000,0.0000,7.7858
300000,0.0000,8.8561
305000,0.0000,8.6804
310000,0.0000,8.4100
315000,0.0000,8.1727
320000,0.0000,7.2157
325000,0.0000,7.4167
330000,0.0000,7.8050
335000,0.0000,7.5595
340000,0.0000,8.9688
345000,0.0000,7.8065
350000,0.0000,7.2576
355000,0.0000,9.3460
360000,0.0000,9.1360
365000,0.0000,7.9770
370000,0.0000,8.5722
375000,0.0000,7.9857
380000,0.0000,8.7469
385000,0.0000,7.9390
390000,0.0000,9.8992
395000,0.0000,9.5909
400000,0.0000,7.6393
405000,0.0000,9.7641
410000,0.0000,9.5630
415000,0.0000,8.9809
420000,0.0000,10.2426
425000,0.0000,8.3463
430000,0.0000,9.8302
435000,0.0000,9.1629
440000,0.0000,9.0459
445000,0.0000,7.7728
450000,0.0000,10.0851
455000,0.0000,9.0639
460000,0.0000,8.0979
465000,0.0000,8.6662
470000,0.0000,9.4814
475000,0.0000,8.6107
480000,0.0000,9.1678
485000,0.0000,9.3062
490000,0.0000,8.8692
495000,0.0000,9.2256
500000,0.0000,8.0357
505000,0.0000,8.3259
510000,0.0000,8.2844
515000,0.0000,8.8131
520000,0.0000,8.5781
525000,0.0000,9.0240
530000,0.0000,7.7405
535000,0.0000,8.4400
540000,0.0000,8.2949
545000,0.0000,8.1967
550000,0.0000,8.5564
555000,0.0000,9.5210
560000,0.0000,8.6205
565000,0.0000,9.0097
570000,0.0000,8.6698
575000,0.0000,9.3907
580000,0.0000,8.7586
585000,0.0000,8.6096
590000,0.0000,8.2577
595000,0.0000,8.5048
600000,0.0000,7.7960
605000,0.0000,8.6525
610000,0.0000,9.6642
615000,0.0000,9.5959
620000,0.0000,9.6846
625000,0.0000,8.6863
630000,0.0000,8.9207
635000,0.0000,8.1662
640000,0.0000,8.6711
645000,0.0000,8.4944
650000,0.0000,9.1239
655000,0.0000,9.4374
660000,0.0000,9.0129
665000,0.0000,9.2352
670000,0.0000,9.0717
675000,0.0000,9.3728
680000,0.0000,8.9966
685000,0.0000,9.4516
690000,0.0000,8.6806
695000,0.0000,9.3668
700000,0.0000,8.5519
705000,0.0000,8.4988
710000,0.0000,8.5900
715000,0.0000,8.7290
720000,0.0000,8.8169
725000,0.0000,8.2824
730000,0.0000,8.9086
735000,0.0000,8.8462
740000,0.0000,8.7696
745000,0.0000,10.0007
750000,0.0000,8.2589
755000,0.0000,9.3880
760000,0.0000,9.5076
765000,0.0000,9.4728
770000,0.0000,9.3334
775000,0.0000,9.4825
780000,0.0000,8.6123
785000,0.0000,9.6131
790000,0.0000,9.4217
795000,0.0000,9.8139
800000,0.0000,9.0221
805000,0.0000,9.4582
810000,0.0000,9.1480
815000,0.0000,9.5405
820000,0.0000,9.3753
825000,0.0000,8.9840
830000,0.0000,9.1474
835000,0.0000,9.4593
840000,0.0000,9.5651
845000,0.0000,9.4209
850000,0.0000,9.4156
855000,0.0000,8.8412
860000,0.0000,9.5470
865000,0.0000,9.2361
870000,0.0000,9.4781
875000,0.0000,9.5366
880000,0.0000,9.7590
885000,0.0000,9.0077
