frames,reward,dist
5000,0.0000,5.1949
10000,0.0000,7.6306
15000,0.0000,6.5978
20000,0.0000,6.9523
25000,0.0000,5.5295
30000,0.0000,2.3050
35000,0.0000,4.0434
40000,0.0000,3.9437
45000,0.0000,3.9063
50000,0.0000,4.8680
55000,0.0000,4.4441
60000,0.0000,4.1831
65000,0.0000,4.1092
70000,0.0000,5.0488
75000,0.0000,3.5942
80000,0.0000,4.0738
85000,0.0000,4.7649
90000,0.0000,6.3549
95000,0.0000,7.6418
100000,0.0000,6.5204
105000,0.0000,4.2216
110000,0.0000,3.3427
115000,0.0000,4.0840
120000,0.0000,2.0913
125000,0.0000,2.7198
130000,0.0000,2.8851
135000,0.0000,3.4068
140000,0.0000,1.5746
145000,0.0000,2.4565
150000,0.0000,1.2865
155000,0.0000,0.8627
160000,0.0000,0.8959
165000,0.0000,1.3312
170000,0.0000,0.7435
175000,0.0000,0.4264
180000,0.0000,0.5551
185000,0.0000,0.7670
190000,0.0000,0.5560
195000,0.0000,1.1206
200000,0.0000,0.7524
205000,0.0000,0.8726
210000,0.0000,0.9003
215000,0.0000,1.0576
220000,0.0000,0.9361
225000,0.0000,2.2399
230000,0.0000,1.0097
235000,0.0000,1.1598
240000,0.0000,1.3484
245000,0.0000,1.5162
250000,0.0000,1.4707
255000,0.0000,0.8276
260000,0.0000,1.0538
265000,0.0000,0.6567
270000,0.0000,1.0252
275000,0.0000,0.5269
280000,0.0000,1.2326
285000,0.0000,0.6698
290000,0.0000,1.5580
295000,0.0000,1.0424
300000,0.0000,1.1348
305000,0.0000,0.9624
310000,0.0000,1.4777
315000,0.0000,1.0151
320000,0.0000,1.0849
325000,0.0000,1.7640
330000,0.0000,6.1334
335000,0.0000,3.8540
340000,0.0000,4.1299
345000,0.0000,7.5605
350000,0.0000,1.3894
355000,0.0000,0.9780
360000,0.0000,1.2327
365000,0.0000,1.8892
370000,0.0000,1.4475
375000,0.0000,3.3567
380000,0.6000,5.3743
385000,0.0000,5.5050
390000,0.0000,4.8294
395000,0.6000,4.3495
400000,0.0000,5.5601
405000,0.2000,3.3635
410000,0.0000,4.3845
415000,0.0000,3.1867
420000,0.0000,4.2094
425000,0.0000,4.1890
430000,0.0000,2.7843
435000,0.0000,3.2410
440000,0.2000,4.3303
445000,0.0000,7.5774
450000,0.2000,3.5957
455000,0.0000,3.7045
460000,0.0000,2.9764
465000,0.0000,4.4120
470000,0.2000,3.3833
475000,0.2000,4.8212
480000,0.6000,4.9062
485000,0.0000,3.9026
490000,0.0000,8.9115
495000,0.0000,5.4915
500000,0.0000,5.9748
505000,0.0000,4.0139
510000,0.0000,3.8444
515000,0.6000,2.7438
520000,0.2000,2.9122
525000,0.4000,3.8421
530000,0.2000,3.5362
535000,0.0000,2.4291
540000,0.2000,3.4739
545000,0.0000,3.0194
550000,0.0000,2.8333
555000,0.0000,2.6706
560000,0.0000,2.9653
565000,0.0000,2.3139
570000,0.0000,3.3889
575000,0.0000,3.4649
580000,0.0000,3.6331
585000,0.0000,2.9167
590000,0.0000,3.3465
595000,0.0000,2.3057
600000,0.0000,2.7199
605000,0.0000,2.8201
610000,0.0000,2.7623
615000,0.0000,2.8352
620000,0.0000,1.4625
625000,0.0000,2.9088
630000,0.6000,1.2632
635000,0.0000,2.0353
640000,0.0000,2.7166
645000,0.2000,2.3059
650000,0.0000,2.0061
655000,0.0000,2.0648
660000,0.0000,2.1185
665000,0.0000,1.9931
670000,0.0000,2.2197
675000,0.0000,1.8896
680000,0.0000,1.9652
685000,0.0000,1.3839
690000,0.0000,1.8923
695000,0.2000,1.6699
700000,0.0000,1.5340
705000,0.0000,2.2231
710000,0.0000,2.2931
715000,0.0000,1.8039
720000,0.4000,2.4389
725000,0.2000,2.1060
730000,0.0000,1.8420
735000,0.0000,1.7644
740000,0.2000,1.5964
745000,0.0000,1.9638
750000,0.4000,2.4364
755000,0.2000,1.6464
760000,0.4000,2.3488
765000,0.8000,2.3592
770000,0.2000,1.9635
775000,0.4000,1.5122
780000,0.0000,2.2352
785000,1.0000,2.4016
790000,1.0000,2.4912
795000,0.0000,1.7587
800000,0.0000,2.0707
805000,0.4000,2.3977
810000,0.2000,2.1517
815000,0.2000,1.2575
820000,0.0000,1.6684
825000,0.0000,1.6541
830000,0.8000,1.4660
835000,0.0000,1.7805
840000,0.6000,2.3904
845000,0.8000,1.9923
850000,0.6000,2.2383
855000,1.0000,2.8108
860000,0.6000,1.9081
865000,0.8000,2.0761
870000,0.6000,2.1083
875000,0.2000,2.1150
880000,0.6000,2.3332
885000,0.2000,2.5702
890000,0.0000,2.8083
895000,0.0000,1.7351
900000,0.0000,2.2535
905000,0.0000,1.9733
910000,0.0000,3.6810
915000,0.0000,1.9959
920000,0.0000,2.0347
925000,0.0000,2.3642
930000,0.8000,2.4210
935000,0.0000,1.6787
940000,0.0000,2.3069
945000,0.0000,1.9821
950000,0.0000,2.9437
955000,0.0000,2.1713
960000,0.0000,1.9337
965000,0.0000,2.1095
970000,0.0000,2.0931
975000,0.0000,2.9789
980000,0.0000,2.9687
985000,0.0000,2.2355
990000,0.0000,2.6761
995000,0.6000,2.5634
1000000,0.4000,2.3510
1005000,0.0000,2.4118
1010000,0.0000,2.3187
1015000,0.4000,2.7458
1020000,0.0000,4.4510
1025000,0.0000,2.4946
1030000,0.0000,2.4025
1035000,0.0000,3.0125
1040000,0.0000,3.1733
1045000,0.0000,2.8437
1050000,0.0000,2.2184
1055000,0.0000,1.8897
1060000,0.0000,2.5745
1065000,0.0000,2.2210
1070000,0.0000,2.7195
1075000,1.0000,2.3069
1080000,0.0000,2.8695
1085000,0.2000,3.0254
1090000,0.0000,4.4040
1095000,0.0000,4.0866
1100000,0.0000,3.8788
1105000,0.0000,4.1892
1110000,0.0000,2.5291
1115000,0.0000,2.3347
1120000,0.0000,3.7985
1125000,0.0000,5.1659
1130000,0.0000,3.1283
1135000,0.0000,3.5863
1140000,0.0000,2.2524
1145000,0.0000,1.6906
1150000,0.0000,1.8549
1155000,0.2000,3.3549
1160000,0.0000,1.4927
1165000,0.0000,1.5136
1170000,0.0000,1.6933
1175000,0.0000,2.1474
1180000,0.0000,1.5714
1185000,0.0000,2.0528
1190000,0.0000,1.7894
1195000,0.0000,1.3925
1200000,0.0000,1.6345
1205000,0.4000,1.2677
1210000,0.8000,2.1440
1215000,0.0000,1.7658
1220000,0.0000,1.7301
1225000,0.0000,1.4311
1230000,0.0000,1.4238
1235000,0.0000,3.1547
1240000,0.4000,1.4921
1245000,0.0000,1.9804
1250000,0.8000,1.5389
1255000,0.0000,1.9227
1260000,0.0000,1.2634
1265000,0.0000,1.7745
1270000,0.0000,1.8244
1275000,0.8000,1.3633
1280000,1.0000,1.0583
1285000,0.6000,1.3576
1290000,0.0000,1.5329
1295000,0.6000,1.9607
1300000,0.2000,1.2526
1305000,0.8000,0.8476
1310000,0.8000,1.0742
1315000,0.0000,1.2786
1320000,0.2000,1.4646
1325000,0.6000,1.4117
1330000,0.0000,1.4299
1335000,0.8000,1.6337
1340000,0.2000,1.5164
1345000,0.2000,1.7318
1350000,0.0000,2.9466
1355000,0.4000,1.5287
1360000,1.0000,2.0643
1365000,0.2000,0.9560
1370000,0.4000,1.1221
1375000,0.2000,2.1330
1380000,0.0000,1.4178
1385000,0.0000,1.3474
1390000,0.0000,1.3849
1395000,0.0000,1.4126
1400000,0.0000,1.3816
1405000,0.8000,2.0716
1410000,0.0000,1.5539
1415000,0.0000,1.6609
1420000,0.0000,1.8987
1425000,0.0000,3.2382
1430000,0.2000,2.1821
1435000,0.6000,2.1826
1440000,0.4000,1.7277
1445000,0.0000,1.1586
1450000,0.6000,1.9257
1455000,1.0000,2.9952
1460000,0.6000,1.3349
1465000,0.0000,1.3782
1470000,0.2000,1.3889
1475000,0.4000,4.2148
1480000,0.0000,1.8828
1485000,0.0000,1.9030
1490000,0.0000,1.5877
1495000,0.0000,1.4564
1500000,0.2000,2.7631
1505000,0.6000,3.5595
1510000,0.0000,1.6769
1515000,0.2000,1.8560
1520000,0.0000,1.4405
1525000,0.0000,1.6459
1530000,0.0000,1.3601
1535000,0.0000,1.4347
1540000,0.0000,2.7503
1545000,0.0000,1.3446
1550000,0.0000,2.2216
1555000,0.0000,1.7058
1560000,0.0000,2.2907
1565000,0.0000,1.4605
1570000,0.0000,2.2299
1575000,0.0000,1.2679
1580000,0.0000,1.3008
1585000,0.0000,1.7390
1590000,0.0000,1.6612
1595000,0.0000,1.9585
1600000,0.0000,1.8360
1605000,0.0000,1.5616
1610000,0.0000,1.7749
1615000,0.0000,1.3810
1620000,0.0000,1.2844
1625000,0.0000,2.0050
1630000,0.0000,1.6549
1635000,0.2000,1.7005
1640000,0.0000,1.6612
1645000,0.0000,1.8191
1650000,0.0000,2.1458
1655000,0.0000,2.1352
1660000,0.0000,2.2605
1665000,0.0000,2.0895
1670000,0.0000,1.4207
1675000,0.0000,1.5357
1680000,0.2000,1.2604
1685000,0.0000,1.3642
1690000,0.0000,1.5166
1695000,0.0000,1.2325
1700000,0.6000,1.4214
1705000,0.0000,1.7379
1710000,0.0000,1.8259
1715000,0.0000,1.4966
1720000,0.0000,0.9932
1725000,0.0000,1.8723
1730000,0.0000,1.5082
1735000,0.0000,1.6623
1740000,0.2000,1.9429
1745000,0.4000,1.5720
1750000,0.6000,1.6342
1755000,0.0000,1.4465
1760000,0.0000,1.4019
1765000,0.0000,1.5374
1770000,0.0000,1.2716
1775000,0.0000,1.1986
1780000,0.4000,1.5614
1785000,0.0000,1.3630
1790000,0.0000,1.6103
1795000,0.4000,2.5119
1800000,0.6000,1.4729
1805000,0.0000,0.9968
1810000,0.4000,1.1785
1815000,0.2000,0.6055
1820000,0.2000,0.6484
1825000,0.0000,1.5694
1830000,0.0000,0.8558
1835000,0.0000,1.4797
1840000,0.2000,1.0694
1845000,0.4000,0.8422
1850000,0.0000,1.4705
1855000,0.0000,1.3890
1860000,0.4000,1.5015
1865000,0.0000,1.2955
1870000,0.4000,1.1209
1875000,0.0000,0.9646
1880000,0.4000,1.1792
1885000,0.0000,0.8159
1890000,0.0000,1.3002
1895000,0.6000,1.7227
1900000,0.0000,2.9785
1905000,0.2000,1.4290
1910000,0.6000,2.6875
1915000,0.6000,1.7294
1920000,0.0000,1.4247
1925000,0.0000,1.5209
1930000,0.2000,1.3405
1935000,0.0000,1.3156
1940000,0.0000,2.5401
1945000,0.2000,3.1737
1950000,0.4000,0.9671
1955000,0.4000,3.0449
1960000,0.0000,5.0282
1965000,0.0000,3.4094
1970000,0.0000,4.9489
1975000,0.0000,5.0168
1980000,0.0000,4.3876
1985000,0.0000,4.7205
1990000,0.0000,3.6374
1995000,0.0000,3.2822
2000000,0.0000,3.1033
2005000,0.0000,4.8558
2010000,0.0000,3.5901
2015000,0.0000,3.2184
2020000,0.0000,1.9479
2025000,0.0000,3.6126
2030000,0.0000,4.7227
2035000,0.0000,3.4178
2040000,0.0000,1.8283
2045000,0.0000,2.8991
2050000,0.0000,3.0088
2055000,0.0000,4.0654
2060000,0.0000,1.5307
2065000,0.0000,2.5790
2070000,0.0000,2.3724
2075000,0.0000,2.6470
2080000,0.0000,1.4388
2085000,0.0000,2.9424
2090000,0.0000,3.1629
2095000,0.0000,4.2111
2100000,0.0000,6.1216
2105000,0.0000,4.2987
2110000,0.0000,2.8472
2115000,0.0000,2.8879
2120000,0.0000,3.1000
2125000,0.0000,1.4801
2130000,0.0000,6.3388
2135000,0.0000,2.3849
2140000,0.0000,3.4390
2145000,0.0000,2.2982
2150000,0.0000,2.5502
2155000,0.0000,4.2980
2160000,0.0000,3.7723
2165000,0.0000,3.6861
2170000,0.0000,1.5890
2175000,0.0000,1.5556
2180000,0.0000,3.9532
2185000,0.0000,1.4487
2190000,0.0000,2.9754
2195000,0.0000,1.1434
2200000,0.0000,0.9546
2205000,0.0000,0.9440
2210000,0.0000,4.0803
2215000,0.2000,3.1734
2220000,0.0000,2.2697
2225000,0.0000,0.8187
2230000,0.0000,4.2308
2235000,0.0000,1.0288
2240000,0.0000,1.0457
2245000,0.0000,2.6968
2250000,0.0000,1.0418
2255000,0.0000,2.8682
2260000,0.0000,0.7200
2265000,0.0000,1.2710
2270000,0.0000,1.3655
2275000,0.0000,1.9097
2280000,0.0000,3.6441
2285000,0.0000,2.6033
2290000,0.0000,0.8627
2295000,0.0000,2.4401
2300000,0.0000,0.8038
2305000,0.0000,1.0453
2310000,0.0000,4.3442
2315000,0.0000,1.5659
2320000,0.0000,0.4622
2325000,0.0000,4.8178
2330000,0.0000,3.0983
2335000,0.0000,0.3957
2340000,0.6000,0.6435
2345000,0.0000,0.7016
2350000,0.4000,0.7240
2355000,0.4000,0.7460
2360000,0.2000,0.5057
2365000,0.0000,0.5106
2370000,0.6000,1.0994
2375000,0.0000,0.5041
2380000,0.2000,2.4579
2385000,1.0000,0.7291
2390000,0.2000,4.9819
2395000,0.8000,0.9031
2400000,0.4000,2.7978
2405000,1.0000,0.4456
2410000,0.6000,0.5764
2415000,0.2000,0.7019
2420000,0.8000,0.8799
2425000,0.8000,0.4721
2430000,0.0000,1.5087
2435000,0.0000,1.0253
2440000,0.0000,2.4075
2445000,0.0000,0.7290
2450000,0.0000,1.1110
2455000,0.0000,2.2784
2460000,0.0000,0.6437
2465000,0.0000,0.5489
2470000,0.0000,0.4962
2475000,1.0000,0.7651
2480000,1.0000,1.0837
2485000,1.0000,0.5382
2490000,1.0000,0.4253
2495000,1.0000,0.3450
2500000,0.6000,5.0713
2505000,0.8000,1.0958
2510000,0.8000,0.4208
2515000,1.0000,0.3712
2520000,1.0000,0.7604
2525000,0.8000,2.3355
2530000,1.0000,0.6570
2535000,0.6000,4.6317
2540000,0.8000,3.1305
2545000,1.0000,0.7844
2550000,0.8000,1.9885
2555000,1.0000,1.3013
2560000,0.6000,5.1147
2565000,0.8000,3.4568
2570000,1.0000,0.6793
2575000,0.8000,1.3902
2580000,1.0000,0.6282
2585000,1.0000,0.6659
2590000,1.0000,0.4995
2595000,1.0000,0.5538
2600000,0.8000,1.6794
2605000,1.0000,0.8034
2610000,1.0000,0.5613
2615000,1.0000,0.5178
2620000,1.0000,0.6136
2625000,0.8000,1.9144
2630000,1.0000,1.0800
2635000,1.0000,0.5972
2640000,1.0000,0.4327
2645000,1.0000,0.5238
2650000,1.0000,0.3436
2655000,1.0000,0.5979
2660000,1.0000,0.8519
2665000,1.0000,0.4432
2670000,1.0000,0.4462
2675000,1.0000,0.5491
2680000,1.0000,0.4305
2685000,1.0000,0.6753
2690000,1.0000,0.6610
2695000,1.0000,0.4784
2700000,1.0000,0.4946
2705000,1.0000,0.5262
2710000,1.0000,0.4071
2715000,1.0000,0.3948
2720000,1.0000,0.4142
2725000,1.0000,0.5252
2730000,1.0000,0.5631
2735000,1.0000,0.4370
2740000,1.0000,0.5455
2745000,1.0000,0.4164
2750000,1.0000,0.6075
2755000,0.8000,0.9799
2760000,1.0000,0.3983
2765000,1.0000,0.5239
2770000,1.0000,0.4320
2775000,1.0000,0.4614
2780000,1.0000,0.4099
2785000,1.0000,0.3946
2790000,1.0000,0.3850
2795000,1.0000,0.4695
2800000,1.0000,0.5678
2805000,1.0000,0.4349
2810000,1.0000,0.7430
2815000,0.8000,1.0539
2820000,0.8000,1.2392
2825000,0.8000,1.1605
2830000,1.0000,0.6055
2835000,1.0000,0.6261
2840000,1.0000,0.5079
2845000,0.8000,0.8604
2850000,1.0000,0.5418
2855000,1.0000,0.4299
