frames,reward,dist
5000,0.4000,9.1893
10000,0.0000,6.3091
15000,0.0000,5.3397
20000,0.0000,5.1852
25000,0.0000,1.9125
30000,0.0000,1.7993
35000,0.0000,2.1759
40000,0.2000,2.6331
45000,1.0000,3.5574
50000,0.4000,4.8512
55000,0.0000,0.7441
60000,0.2000,1.8780
65000,1.0000,0.8780
70000,0.8000,0.6417
75000,1.0000,0.5131
80000,0.6000,0.8232
85000,0.2000,0.8046
90000,0.0000,0.8019
95000,1.0000,0.5277
100000,1.0000,0.5483
105000,1.0000,0.4825
110000,1.0000,0.4521
115000,1.0000,0.4345
120000,1.0000,0.4530
125000,1.0000,0.4081
130000,1.0000,0.6750
135000,1.0000,0.4440
140000,1.0000,0.4459
145000,1.0000,0.4878
150000,1.0000,0.4492
155000,1.0000,0.4656
160000,1.0000,0.6206
165000,1.0000,0.5418
170000,1.0000,0.4845
175000,1.0000,0.6067
180000,1.0000,0.4903
185000,1.0000,0.5022
190000,1.0000,0.5131
195000,1.0000,0.4406
200000,1.0000,0.4317
205000,0.8000,0.4564
210000,1.0000,0.5010
215000,1.0000,0.4678
220000,1.0000,0.6284
225000,0.8000,0.4436
230000,1.0000,0.4565
235000,0.8000,0.4122
240000,1.0000,0.4540
245000,1.0000,0.4880
250000,1.0000,0.5167
255000,1.0000,0.5140
260000,1.0000,0.5971
265000,1.0000,0.4766
270000,1.0000,0.5278
275000,1.0000,0.5029
280000,1.0000,0.4890
285000,1.0000,0.4855
290000,1.0000,0.6030
295000,1.0000,0.6198
300000,0.8000,0.3944
305000,1.0000,0.4635
310000,1.0000,0.5458
315000,1.0000,0.4673
320000,1.0000,0.5382
325000,1.0000,0.5703
330000,1.0000,0.4122
335000,1.0000,0.5578
340000,1.0000,0.5515
345000,1.0000,0.4926
350000,1.0000,0.5298
355000,0.8000,0.3836
360000,1.0000,0.4950
365000,1.0000,0.5976
370000,1.0000,0.5408
375000,1.0000,0.4567
380000,1.0000,0.5360
385000,1.0000,0.5018
390000,1.0000,0.5291
395000,1.0000,0.4407
400000,0.6000,0.3421
405000,1.0000,0.5187
410000,1.0000,0.4834
415000,1.0000,0.4860
420000,1.0000,0.6440
425000,1.0000,0.4877
430000,1.0000,0.4943
435000,1.0000,0.5075
440000,1.0000,0.5195
445000,1.0000,0.4264
450000,1.0000,0.5395
455000,1.0000,0.4959
460000,1.0000,0.4190
465000,1.0000,0.4852
470000,1.0000,0.4887
475000,1.0000,0.4873
480000,1.0000,0.4425
485000,1.0000,0.5037
490000,1.0000,0.4847
495000,1.0000,0.4160
500000,1.0000,0.4020
