frames,reward,dist
5000,0.0000,0.5347
10000,0.0000,3.0199
15000,0.0000,10.1678
20000,0.0000,10.2086
25000,0.0000,5.7682
30000,0.2000,3.3362
35000,0.0000,4.6820
40000,0.0000,11.1170
45000,0.0000,9.6887
50000,0.0000,6.5943
55000,1.0000,11.5154
60000,0.0000,1.6032
65000,1.0000,9.5259
70000,1.0000,7.1443
75000,1.0000,10.6112
80000,1.0000,9.3970
85000,1.0000,10.3507
90000,1.0000,10.3173
95000,1.0000,9.0149
100000,1.0000,10.0711
105000,1.0000,9.5806
110000,1.0000,8.6139
115000,0.0000,1.2945
120000,1.0000,7.2557
125000,1.0000,7.1484
130000,0.0000,1.8091
135000,1.0000,8.8289
140000,0.4000,1.4118
145000,0.2000,0.9458
150000,1.0000,9.0971
155000,1.0000,4.2484
160000,1.0000,8.3651
165000,1.0000,8.0440
170000,1.0000,7.7667
175000,1.0000,5.1115
180000,1.0000,5.2625
185000,0.2000,7.7765
190000,1.0000,8.0419
195000,0.0000,3.4044
200000,0.0000,6.1200
205000,0.0000,8.3266
210000,0.6000,5.5043
215000,1.0000,6.3562
220000,0.8000,5.3621
225000,0.8000,5.4722
230000,0.0000,8.4400
235000,0.0000,8.2381
240000,0.4000,4.8111
245000,0.0000,8.8651
250000,0.0000,3.3656
255000,0.0000,4.5686
260000,0.0000,3.7373
265000,0.0000,5.6430
270000,0.0000,8.8148
275000,0.0000,8.2879
280000,0.0000,4.4017
285000,0.0000,8.1313
290000,0.2000,3.7466
295000,0.0000,6.9545
300000,0.0000,6.0629
305000,0.0000,3.8427
310000,0.0000,7.7489
315000,0.0000,6.4287
320000,0.6000,9.2159
325000,0.2000,6.3370
330000,0.6000,6.6620
335000,0.2000,4.5961
340000,0.4000,7.7894
345000,0.8000,5.6822
350000,0.8000,5.0475
355000,1.0000,5.4123
360000,1.0000,5.5069
365000,0.4000,4.5744
370000,1.0000,5.5573
375000,0.8000,6.6409
380000,0.8000,6.8059
385000,1.0000,4.7209
390000,1.0000,6.4918
395000,1.0000,4.4960
400000,0.6000,7.1353
405000,0.0000,4.2785
410000,0.6000,5.0877
415000,0.0000,4.8428
420000,0.0000,4.1909
425000,0.6000,5.7595
430000,0.4000,5.1431
435000,0.6000,5.8345
440000,0.4000,6.3444
445000,0.6000,6.5571
450000,0.4000,5.0058
455000,0.6000,5.2585
460000,0.4000,6.8699
465000,0.6000,6.4433
470000,0.6000,6.4239
475000,1.0000,4.8554
480000,0.2000,5.1421
485000,1.0000,4.4044
490000,1.0000,4.2380
495000,1.0000,5.1659
500000,0.8000,6.0721
