frames,reward,dist
2000,1.0000,0.7416
4000,1.0000,0.6457
6000,1.0000,0.7581
8000,1.0000,0.7105
10000,1.0000,0.6736
12000,1.0000,0.6284
14000,1.0000,0.5918
16000,1.0000,0.6336
18000,1.0000,0.6619
20000,1.0000,0.7111
22000,1.0000,0.7130
24000,1.0000,0.7992
26000,1.0000,0.8149
28000,1.0000,0.9023
30000,1.0000,0.9096
32000,1.0000,0.9969
34000,1.0000,0.9327
36000,1.0000,0.9431
38000,1.0000,1.0166
40000,1.0000,0.9400
42000,1.0000,0.9270
44000,1.0000,0.9678
46000,1.0000,0.9791
48000,1.0000,0.8766
50000,1.0000,0.8368
52000,1.0000,0.8193
54000,1.0000,0.8225
56000,1.0000,0.7578
58000,1.0000,0.7785
60000,1.0000,0.7997
62000,1.0000,0.8042
64000,1.0000,0.8228
66000,1.0000,0.8222
68000,1.0000,0.7974
70000,1.0000,0.8360
72000,1.0000,0.7944
74000,1.0000,0.8748
76000,1.0000,0.8384
78000,1.0000,0.8464
80000,1.0000,0.8393
82000,1.0000,0.8296
84000,1.0000,0.8758
86000,1.0000,0.8464
88000,1.0000,0.8163
90000,1.0000,0.8374
92000,1.0000,0.8532
94000,1.0000,0.8286
96000,1.0000,0.8355
98000,1.0000,0.7997
100000,1.0000,0.7679
102000,1.0000,0.8115
104000,1.0000,0.7609
106000,1.0000,0.7873
108000,1.0000,0.7558
110000,1.0000,0.7591
112000,1.0000,0.7571
114000,1.0000,0.7695
116000,1.0000,0.7884
118000,1.0000,0.7959
120000,1.0000,0.7583
122000,1.0000,0.7139
124000,1.0000,0.7994
126000,1.0000,0.7701
128000,1.0000,0.7127
130000,1.0000,0.7272
132000,1.0000,0.7060
134000,1.0000,0.7060
136000,1.0000,0.6890
138000,1.0000,0.7332
140000,1.0000,0.7277
142000,1.0000,0.6800
144000,1.0000,0.7265
146000,1.0000,0.7306
148000,1.0000,0.7380
150000,1.0000,0.7398
152000,1.0000,0.7753
154000,1.0000,0.7349
156000,1.0000,0.7289
158000,1.0000,0.7542
160000,1.0000,0.7600
162000,1.0000,0.7202
164000,1.0000,0.8253
166000,1.0000,0.8331
168000,1.0000,0.7972
170000,1.0000,0.7429
172000,1.0000,0.8148
174000,1.0000,0.7035
176000,1.0000,0.7549
178000,1.0000,0.7671
180000,1.0000,0.7519
182000,1.0000,0.7998
184000,1.0000,0.7552
186000,1.0000,0.7906
188000,1.0000,0.7574
190000,1.0000,0.7870
192000,1.0000,0.7948
194000,1.0000,0.8433
196000,1.0000,0.8605
198000,1.0000,0.8943
200000,1.0000,0.8484
