frames,reward,dist
2000,0.0000,8.2156
4000,0.0000,7.1240
6000,0.4000,6.9305
8000,0.2000,7.1071
10000,0.6000,8.4793
12000,0.2000,6.2347
14000,0.0000,8.0275
16000,0.4000,6.3035
18000,0.0000,4.5631
20000,0.2000,6.9941
22000,0.2000,5.4348
24000,0.2000,6.8074
26000,0.0000,6.7554
28000,0.0000,6.9586
30000,0.2000,5.3662
32000,0.0000,5.9903
34000,0.2000,5.5922
36000,0.0000,5.3941
38000,0.0000,5.3477
40000,0.2000,5.5641
42000,0.0000,4.6896
44000,0.8000,5.0656
46000,0.4000,5.5540
48000,0.6000,7.3285
50000,0.4000,6.9034
52000,0.6000,7.4048
54000,0.6000,6.4622
56000,0.6000,6.9875
58000,0.4000,8.7542
60000,0.6000,6.0643
62000,0.0000,7.7671
64000,0.2000,6.2558
66000,0.8000,3.9891
68000,0.4000,6.2441
70000,0.6000,5.6745
72000,0.6000,5.1840
74000,0.2000,6.8159
76000,0.2000,3.8282
78000,0.4000,5.9603
80000,0.0000,7.6120
82000,0.2000,4.9857
84000,0.4000,6.5081
86000,0.4000,6.0507
88000,0.4000,4.6925
90000,0.2000,5.4448
92000,0.4000,4.2358
94000,0.8000,6.0221
96000,0.0000,4.8187
98000,0.8000,6.9686
100000,0.2000,3.3163
102000,0.2000,3.2266
104000,0.6000,4.8637
106000,0.8000,3.8004
108000,0.2000,4.2855
110000,0.2000,5.4214
112000,0.2000,5.3380
114000,0.2000,7.1394
116000,0.4000,5.6859
118000,0.4000,6.8652
120000,0.2000,4.3073
122000,0.2000,5.2467
124000,0.6000,4.5028
126000,0.8000,5.7281
128000,0.4000,4.0968
130000,0.6000,4.4215
132000,0.4000,3.5287
134000,0.4000,4.8780
136000,0.2000,6.2198
138000,0.4000,5.8268
140000,0.6000,5.5037
142000,0.0000,3.6062
144000,0.6000,3.4966
146000,0.6000,4.4645
148000,0.4000,3.6813
150000,0.4000,4.0615
152000,0.8000,4.8437
154000,0.6000,5.7306
156000,0.4000,4.4095
158000,0.2000,5.6765
160000,0.6000,4.9778
162000,0.8000,4.6995
164000,0.0000,4.9654
166000,0.4000,3.6912
168000,0.4000,4.5469
170000,0.2000,6.3774
172000,0.6000,5.5444
174000,0.6000,5.2714
176000,0.2000,5.7820
178000,0.4000,5.6687
180000,0.4000,6.2722
182000,0.2000,6.2297
184000,0.6000,6.9941
186000,0.2000,6.0684
188000,0.4000,7.2989
190000,0.6000,6.4991
192000,0.2000,6.9029
194000,0.6000,6.3712
196000,1.0000,5.9695
198000,0.2000,6.0800
200000,0.2000,7.0923
